debate_audio_id,sentence_id,word_index_in_sentence,word,start_sec,end_sec,source
1034,1034_w0004,4,the,26.147,26.247,whisper_canonical
1034,1034_w0004,5,National,26.307,26.767,whisper_canonical
1034,1034_w0004,6,Constitution,26.867,27.688,whisper_canonical
1034,1034_w0004,7,"Center,",27.728,28.128,whisper_canonical
1034,1034_w0004,8,hosted,28.488,28.809,whisper_canonical
1034,1034_w0004,9,by,28.849,29.009,whisper_canonical
1034,1034_w0004,10,ABC,29.149,29.749,whisper_canonical
1034,1034_w0004,11,and,30.19,30.27,whisper_canonical
1034,1034_w0004,12,simulcasted,30.33,31.07,whisper_canonical
1034,1034_w0004,13,here,31.15,31.43,whisper_canonical
1034,1034_w0004,14,on,31.691,31.811,whisper_canonical
1034,1034_w0004,15,C-SPAN.,31.891,32.451,whisper_canonical
1034,1034_w0005,0,Before,33.272,33.572,whisper_canonical
1034,1034_w0005,1,the,33.632,33.712,whisper_canonical
1034,1034_w0005,2,debate,33.752,34.072,whisper_canonical
1034,1034_w0005,3,begins,34.612,35.073,whisper_canonical
1034,1034_w0005,4,"tonight,",35.173,35.573,whisper_canonical
1034,1034_w0005,5,we,35.793,35.953,whisper_canonical
1034,1034_w0005,6,of,35.993,36.053,whisper_canonical
1034,1034_w0005,7,course,36.133,36.434,whisper_canonical
1034,1034_w0005,8,want,36.514,36.774,whisper_canonical
1034,1034_w0005,9,to,36.794,36.854,whisper_canonical
1034,1034_w0005,10,hear,36.914,37.134,whisper_canonical
1034,1034_w0005,11,from,37.214,37.374,whisper_canonical
1034,1034_w0005,12,all,37.454,37.594,whisper_canonical
1034,1034_w0005,13,of,37.634,37.674,whisper_canonical
1034,1034_w0005,14,you.,37.735,37.875,whisper_canonical
1034,1034_w0006,0,What,38.575,38.695,whisper_canonical
1034,1034_w0006,1,do,38.715,38.755,whisper_canonical
1034,1034_w0006,2,you,38.775,38.855,whisper_canonical
1034,1034_w0006,3,want,38.895,38.995,whisper_canonical
1034,1034_w0006,4,to,39.015,39.095,whisper_canonical
1034,1034_w0006,5,hear,39.155,39.455,whisper_canonical
1034,1034_w0006,6,from,39.815,39.975,whisper_canonical
1034,1034_w0006,7,these,40.015,40.195,whisper_canonical
1034,1034_w0006,8,candidates?,40.275,40.796,whisper_canonical
1034,1034_w0007,0,Here's,40.956,41.176,whisper_canonical
1034,1034_w0007,1,how,41.196,41.296,whisper_canonical
1034,1034_w0007,2,you,41.336,41.416,whisper_canonical
1034,1034_w0007,3,can,41.456,41.576,whisper_canonical
1034,1034_w0007,4,join,41.596,41.796,whisper_canonical
1034,1034_w0007,5,the,41.816,41.896,whisper_canonical
1034,1034_w0007,6,conversation,41.956,42.676,whisper_canonical
1034,1034_w0007,7,in,42.876,42.956,whisper_canonical
1034,1034_w0007,8,the,42.976,43.056,whisper_canonical
1034,1034_w0007,9,next,43.116,43.356,whisper_canonical
1034,1034_w0007,10,hour.,43.436,43.756,whisper_canonical
1034,1034_w0008,0,If,44.296,44.377,whisper_canonical
1034,1034_w0008,1,you,44.417,44.557,whisper_canonical
1034,1034_w0008,2,are,44.677,44.777,whisper_canonical
1034,1034_w0008,3,supporting,44.817,45.217,whisper_canonical
1034,1034_w0008,4,the,45.237,45.297,whisper_canonical
1034,1034_w0008,5,vice,45.337,45.537,whisper_canonical
1034,1034_w0008,6,"president,",45.577,45.997,whisper_canonical
1034,1034_w0008,7,dial,46.117,46.417,whisper_canonical
1034,1034_w0008,8,in,46.457,46.537,whisper_canonical
1034,1034_w0008,9,at,46.577,46.637,whisper_canonical
1034,1034_w0008,10,202-748-8920.,46.657,46.697,whisper_canonical
1034,1034_w0009,0,If,46.737,46.857,whisper_canonical
1034,1034_w0009,1,you,46.877,47.057,whisper_canonical
1034,1034_w0009,2,support,47.097,47.297,whisper_canonical
1034,1034_w0009,3,the,47.317,47.377,whisper_canonical
1034,1034_w0009,4,former,47.617,47.897,whisper_canonical
1034,1034_w0009,5,president,47.917,48.278,whisper_canonical
1034,1034_w0009,6,your,48.298,48.518,whisper_canonical
1034,1034_w0009,7,line,48.578,48.798,whisper_canonical
1034,1034_w0009,8,tonight,48.858,49.258,whisper_canonical
1034,1034_w0009,9,is,49.298,49.358,whisper_canonical
1034,1034_w0009,10,202-748-8921.,49.378,49.778,whisper_canonical
1034,1034_w0010,0,If,49.798,49.838,whisper_canonical
1034,1034_w0010,1,you,49.878,49.938,whisper_canonical
1034,1034_w0010,2,are,49.958,50.018,whisper_canonical
1034,1034_w0010,3,supporting,50.038,50.378,whisper_canonical
1034,1034_w0010,4,another,50.398,50.738,whisper_canonical
1034,1034_w0010,5,"candidate,",50.778,51.218,whisper_canonical
1034,1034_w0010,6,a,51.238,51.258,whisper_canonical
1034,1034_w0010,7,different,51.458,51.638,whisper_canonical
1034,1034_w0010,8,"one,",51.718,51.818,whisper_canonical
1034,1034_w0010,9,dial,51.838,51.958,whisper_canonical
1034,1034_w0010,10,in,52.038,52.098,whisper_canonical
1034,1034_w0010,11,at,52.119,52.159,whisper_canonical
1034,1034_w0010,12,202-748-8922.,52.179,52.219,whisper_canonical
1034,1034_w0011,0,And,61.861,61.921,whisper_canonical
1034,1034_w0011,1,if,61.941,62.001,whisper_canonical
1034,1034_w0011,2,you,62.021,62.121,whisper_canonical
1034,1034_w0011,3,are,62.181,62.281,whisper_canonical
1034,1034_w0011,4,"undecided,",62.401,63.082,whisper_canonical
1034,1034_w0011,5,we,63.422,63.562,whisper_canonical
1034,1034_w0011,6,want,63.602,63.763,whisper_canonical
1034,1034_w0011,7,to,63.783,63.823,whisper_canonical
1034,1034_w0011,8,hear,63.863,64.043,whisper_canonical
1034,1034_w0011,9,from,64.083,64.223,whisper_canonical
1034,1034_w0011,10,you,64.243,64.403,whisper_canonical
1034,1034_w0011,11,at,64.563,65.344,whisper_canonical
1034,1034_w0011,12,202-748-8923.,65.364,68.046,whisper_canonical
1034,1034_w0012,0,You,68.466,68.566,whisper_canonical
1034,1034_w0012,1,can,68.606,68.746,whisper_canonical
1034,1034_w0012,2,text,68.806,69.127,whisper_canonical
1034,1034_w0012,3,us,69.207,69.307,whisper_canonical
1034,1034_w0012,4,all,69.527,69.667,whisper_canonical
1034,1034_w0012,5,of,69.707,69.747,whisper_canonical
1034,1034_w0012,6,you,69.787,69.927,whisper_canonical
1034,1034_w0012,7,at,70.067,70.888,whisper_canonical
1034,1034_w0012,8,"202-748-8903,",70.908,73.51,whisper_canonical
1034,1034_w0012,9,include,73.77,74.111,whisper_canonical
1034,1034_w0012,10,your,74.131,74.291,whisper_canonical
1034,1034_w0012,11,first,74.331,74.531,whisper_canonical
1034,1034_w0012,12,"name,",74.571,74.771,whisper_canonical
1034,1034_w0012,13,city,74.811,75.051,whisper_canonical
1034,1034_w0012,14,and,75.091,75.172,whisper_canonical
1034,1034_w0012,15,state.,75.212,75.512,whisper_canonical
1034,1034_w0013,0,You,75.812,75.872,whisper_canonical
1034,1034_w0013,1,can,75.892,75.992,whisper_canonical
1034,1034_w0013,2,also,76.012,76.232,whisper_canonical
1034,1034_w0013,3,join,76.272,76.473,whisper_canonical
1034,1034_w0013,4,us,76.493,76.573,whisper_canonical
1034,1034_w0013,5,on,76.673,76.773,whisper_canonical
1034,1034_w0013,6,X,77.273,77.373,whisper_canonical
1034,1034_w0013,7,with,77.413,77.533,whisper_canonical
1034,1034_w0013,8,the,77.553,77.613,whisper_canonical
1034,1034_w0013,9,handle,77.674,77.914,whisper_canonical
1034,1034_w0013,10,at,77.974,78.034,whisper_canonical
1034,1034_w0013,11,C-SPAN,78.074,78.594,whisper_canonical
1034,1034_w0013,12,or,79.035,79.115,whisper_canonical
1034,1034_w0013,13,on,79.155,79.215,whisper_canonical
1034,1034_w0013,14,facebook.com,79.255,80.216,whisper_canonical
1034,1034_w0013,15,slash,80.656,81.016,whisper_canonical
1034,1034_w0013,16,c-SPAN.,81.236,81.657,whisper_canonical
1034,1034_w0014,0,Before,82.671,82.951,whisper_canonical
1034,1034_w0014,1,we,82.991,83.091,whisper_canonical
1034,1034_w0014,2,get,83.111,83.251,whisper_canonical
1034,1034_w0014,3,to,83.291,83.391,whisper_canonical
1034,1034_w0014,4,your,83.431,83.572,whisper_canonical
1034,1034_w0014,5,"calls,",83.612,83.912,whisper_canonical
1034,1034_w0014,6,joining,84.032,84.432,whisper_canonical
1034,1034_w0014,7,us,84.492,84.632,whisper_canonical
1034,1034_w0014,8,from,84.772,84.992,whisper_canonical
1034,1034_w0014,9,Philadelphia,85.113,85.913,whisper_canonical
1034,1034_w0014,10,tonight,85.993,86.453,whisper_canonical
1034,1034_w0014,11,is,86.754,86.894,whisper_canonical
1034,1034_w0014,12,Axios's,87.114,87.674,whisper_canonical
1034,1034_w0014,13,national,87.734,88.074,whisper_canonical
1034,1034_w0014,14,politics,88.134,88.615,whisper_canonical
1034,1034_w0014,15,"reporter,",88.675,89.135,whisper_canonical
1034,1034_w0014,16,Sophia,89.495,90.056,whisper_canonical
1034,1034_w0014,17,"Kai,",90.236,90.676,whisper_canonical
1034,1034_w0014,18,here,91.136,91.276,whisper_canonical
1034,1034_w0014,19,to,91.317,91.377,whisper_canonical
1034,1034_w0014,20,preview,91.417,91.897,whisper_canonical
1034,1034_w0014,21,tonight's,91.997,92.337,whisper_canonical
1034,1034_w0014,22,debate.,92.377,92.677,whisper_canonical
1034,1034_w0015,0,Sophia,92.697,92.978,whisper_canonical
1034,1034_w0015,1,"Kai,",93.018,93.258,whisper_canonical
1034,1034_w0015,2,you,93.298,93.478,whisper_canonical
1034,1034_w0015,3,are,93.578,93.698,whisper_canonical
1034,1034_w0015,4,at,93.918,94.018,whisper_canonical
1034,1034_w0015,5,the,94.098,94.198,whisper_canonical
1034,1034_w0015,6,media,94.278,94.679,whisper_canonical
1034,1034_w0015,7,filing,94.799,95.319,whisper_canonical
1034,1034_w0015,8,"center,",95.379,95.739,whisper_canonical
1034,1034_w0015,9,which,95.799,95.939,whisper_canonical
1034,1034_w0015,10,is,96.0,96.08,whisper_canonical
1034,1034_w0015,11,also,96.24,96.52,whisper_canonical
1034,1034_w0015,12,going,96.58,96.82,whisper_canonical
1034,1034_w0015,13,to,96.88,96.98,whisper_canonical
1034,1034_w0015,14,be,97.04,97.26,whisper_canonical
1034,1034_w0015,15,where,97.801,97.981,whisper_canonical
1034,1034_w0015,16,the,98.001,98.101,whisper_canonical
1034,1034_w0015,17,spin,98.161,98.461,whisper_canonical
1034,1034_w0015,18,room,98.501,98.721,whisper_canonical
1034,1034_w0015,19,is,98.921,99.061,whisper_canonical
1034,1034_w0015,20,tonight.,99.282,99.622,whisper_canonical
1034,1034_w0016,0,Describe,99.682,100.222,whisper_canonical
1034,1034_w0016,1,the,100.282,100.382,whisper_canonical
1034,1034_w0016,2,scene,100.462,100.743,whisper_canonical
1034,1034_w0016,3,there.,100.823,101.063,whisper_canonical
1034,1034_w0017,0,"Yeah,",103.335,103.575,whisper_canonical
1034,1034_w0017,1,so,103.595,103.735,whisper_canonical
1034,1034_w0017,2,it's,103.795,103.935,whisper_canonical
1034,1034_w0017,3,a,103.975,104.015,whisper_canonical
1034,1034_w0017,4,large,104.155,104.556,whisper_canonical
1034,1034_w0017,5,space.,104.636,105.096,whisper_canonical
1034,1034_w0018,0,There's,105.216,105.536,whisper_canonical
1034,1034_w0018,1,hundreds,105.756,106.136,whisper_canonical
1034,1034_w0018,2,of,106.176,106.236,whisper_canonical
1034,1034_w0018,3,seats,106.316,106.576,whisper_canonical
1034,1034_w0018,4,set,106.637,106.817,whisper_canonical
1034,1034_w0018,5,up,106.897,106.997,whisper_canonical
1034,1034_w0018,6,for,107.117,107.377,whisper_canonical
1034,1034_w0018,7,reporters,107.917,108.317,whisper_canonical
1034,1034_w0018,8,from,108.357,108.517,whisper_canonical
1034,1034_w0018,9,around,108.617,109.058,whisper_canonical
1034,1034_w0018,10,the,109.078,109.158,whisper_canonical
1034,1034_w0018,11,world,109.218,109.498,whisper_canonical
1034,1034_w0018,12,who,109.538,109.618,whisper_canonical
1034,1034_w0018,13,have,109.658,109.758,whisper_canonical
1034,1034_w0018,14,come,109.818,109.998,whisper_canonical
1034,1034_w0018,15,to,110.038,110.138,whisper_canonical
1034,1034_w0018,16,Philadelphia,110.178,110.838,whisper_canonical
1034,1034_w0018,17,to,110.878,110.998,whisper_canonical
1034,1034_w0018,18,cover,111.058,111.399,whisper_canonical
1034,1034_w0018,19,the,112.019,112.099,whisper_canonical
1034,1034_w0018,20,debate.,112.139,112.579,whisper_canonical
1034,1034_w0019,0,"And,",112.899,113.079,whisper_canonical
1034,1034_w0019,1,you,113.179,113.259,whisper_canonical
1034,1034_w0019,2,"know,",113.299,113.46,whisper_canonical
1034,1034_w0019,3,along,113.58,113.84,whisper_canonical
1034,1034_w0019,4,the,113.88,113.96,whisper_canonical
1034,1034_w0019,5,side,114.02,114.4,whisper_canonical
1034,1034_w0019,6,is,114.46,114.58,whisper_canonical
1034,1034_w0019,7,a,114.64,114.68,whisper_canonical
1034,1034_w0019,8,spin,114.78,115.12,whisper_canonical
1034,1034_w0019,9,room,115.18,115.46,whisper_canonical
1034,1034_w0019,10,where,116.001,116.321,whisper_canonical
1034,1034_w0019,11,candidates,116.461,117.001,whisper_canonical
1034,1034_w0019,12,and,117.321,117.441,whisper_canonical
1034,1034_w0019,13,their,117.481,117.661,whisper_canonical
1034,1034_w0019,14,surrogates,117.741,118.302,whisper_canonical
1034,1034_w0019,15,and,118.542,118.642,whisper_canonical
1034,1034_w0019,16,teams,118.742,119.142,whisper_canonical
1034,1034_w0019,17,will,119.222,119.382,whisper_canonical
1034,1034_w0019,18,come,119.422,119.602,whisper_canonical
1034,1034_w0019,19,after,119.822,120.103,whisper_canonical
1034,1034_w0019,20,the,120.163,120.243,whisper_canonical
1034,1034_w0019,21,debate,120.283,120.723,whisper_canonical
1034,1034_w0019,22,to,121.163,121.283,whisper_canonical
1034,1034_w0019,23,speak,121.363,121.623,whisper_canonical
1034,1034_w0019,24,to,121.663,121.763,whisper_canonical
1034,1034_w0019,25,the,121.803,121.883,whisper_canonical
1034,1034_w0019,26,press,121.943,122.263,whisper_canonical
1034,1034_w0019,27,and,122.524,122.684,whisper_canonical
1034,1034_w0019,28,really,122.784,123.044,whisper_canonical
1034,1034_w0019,29,spin,123.164,123.544,whisper_canonical
1034,1034_w0019,30,us,123.764,123.884,whisper_canonical
1034,1034_w0019,31,on,124.084,124.164,whisper_canonical
1034,1034_w0019,32,what,124.204,124.344,whisper_canonical
1034,1034_w0019,33,they,124.364,124.504,whisper_canonical
1034,1034_w0019,34,want,124.565,124.725,whisper_canonical
1034,1034_w0019,35,the,124.765,124.845,whisper_canonical
1034,1034_w0019,36,message,124.905,125.265,whisper_canonical
1034,1034_w0019,37,to,125.365,125.465,whisper_canonical
1034,1034_w0019,38,be.,125.505,125.705,whisper_canonical
1034,1034_w0020,0,So,125.805,125.965,whisper_canonical
1034,1034_w0020,1,this,126.245,126.385,whisper_canonical
1034,1034_w0020,2,is,126.445,126.525,whisper_canonical
1034,1034_w0020,3,really,126.565,126.766,whisper_canonical
1034,1034_w0020,4,going,126.786,126.906,whisper_canonical
1034,1034_w0020,5,to,126.926,126.986,whisper_canonical
1034,1034_w0020,6,be,127.006,127.106,whisper_canonical
1034,1034_w0020,7,the,127.146,127.226,whisper_canonical
1034,1034_w0020,8,hub,127.326,127.646,whisper_canonical
1034,1034_w0020,9,of,128.006,128.086,whisper_canonical
1034,1034_w0020,10,where,128.206,128.486,whisper_canonical
1034,1034_w0020,11,the,128.526,128.606,whisper_canonical
1034,1034_w0020,12,debate,128.646,128.966,whisper_canonical
1034,1034_w0020,13,"is,",129.067,129.187,whisper_canonical
1034,1034_w0020,14,aside,129.347,129.787,whisper_canonical
1034,1034_w0020,15,from,129.887,130.047,whisper_canonical
1034,1034_w0020,16,the,130.087,130.187,whisper_canonical
1034,1034_w0020,17,actual,130.287,130.587,whisper_canonical
1034,1034_w0020,18,"debate,",130.607,130.887,whisper_canonical
1034,1034_w0020,19,which,130.927,131.067,whisper_canonical
1034,1034_w0020,20,starts,131.127,131.368,whisper_canonical
1034,1034_w0020,21,at,131.468,131.548,whisper_canonical
1034,1034_w0020,22,nine.,131.588,131.748,whisper_canonical
1034,1034_w0021,0,How,132.448,132.548,whisper_canonical
1034,1034_w0021,1,many,132.568,132.748,whisper_canonical
1034,1034_w0021,2,people,132.768,133.169,whisper_canonical
1034,1034_w0021,3,are,133.409,133.509,whisper_canonical
1034,1034_w0021,4,there,133.569,133.849,whisper_canonical
1034,1034_w0021,5,at,133.99,134.11,whisper_canonical
1034,1034_w0021,6,the,134.13,134.19,whisper_canonical
1034,1034_w0021,7,Philadelphia,134.23,134.81,whisper_canonical
1034,1034_w0021,8,Convention,134.87,135.371,whisper_canonical
1034,1034_w0021,9,Center,135.391,135.651,whisper_canonical
1034,1034_w0021,10,tonight?,135.691,135.991,whisper_canonical
1034,1034_w0022,0,You,138.614,138.694,whisper_canonical
1034,1034_w0022,1,"know,",138.714,138.834,whisper_canonical
1034,1034_w0022,2,there's,138.894,139.134,whisper_canonical
1034,1034_w0022,3,hundreds,139.234,139.715,whisper_canonical
1034,1034_w0022,4,now.,139.835,140.115,whisper_canonical
1034,1034_w0023,0,There's,140.376,140.576,whisper_canonical
1034,1034_w0023,1,probably,140.636,141.056,whisper_canonical
1034,1034_w0023,2,going,141.096,141.597,whisper_canonical
1034,1034_w0023,3,to,141.617,141.657,whisper_canonical
1034,1034_w0023,4,be,141.677,141.717,whisper_canonical
1034,1034_w0023,5,hundreds,141.857,142.257,whisper_canonical
1034,1034_w0023,6,if,142.417,142.518,whisper_canonical
1034,1034_w0023,7,not,142.618,142.858,whisper_canonical
1034,1034_w0023,8,a,142.878,142.898,whisper_canonical
1034,1034_w0023,9,thousand,143.498,143.919,whisper_canonical
1034,1034_w0023,10,people.,143.999,144.379,whisper_canonical
1034,1034_w0024,0,I,144.399,144.419,whisper_canonical
1034,1034_w0024,1,"mean,",145.38,145.52,whisper_canonical
1034,1034_w0024,2,just,145.58,145.801,whisper_canonical
1034,1034_w0024,3,"reporters,",145.881,146.581,whisper_canonical
1034,1034_w0024,4,there's,146.621,146.862,whisper_canonical
1034,1034_w0024,5,hundreds,146.962,147.362,whisper_canonical
1034,1034_w0024,6,and,147.402,147.502,whisper_canonical
1034,1034_w0024,7,hundreds,147.622,148.023,whisper_canonical
1034,1034_w0024,8,of,148.043,148.103,whisper_canonical
1034,1034_w0024,9,seats,148.203,148.523,whisper_canonical
1034,1034_w0024,10,set,148.743,148.964,whisper_canonical
1034,1034_w0024,11,"up,",149.084,149.144,whisper_canonical
1034,1034_w0024,12,you,149.624,149.704,whisper_canonical
1034,1034_w0024,13,"know,",149.744,149.945,whisper_canonical
1034,1034_w0024,14,a,149.965,149.985,whisper_canonical
1034,1034_w0024,15,single,150.545,150.865,whisper_canonical
1034,1034_w0024,16,seat,150.925,151.146,whisper_canonical
1034,1034_w0024,17,for,151.166,151.306,whisper_canonical
1034,1034_w0024,18,a,151.346,151.366,whisper_canonical
1034,1034_w0024,19,single,151.426,151.746,whisper_canonical
1034,1034_w0024,20,reporter.,151.786,152.187,whisper_canonical
1034,1034_w0025,0,And,153.465,153.545,whisper_canonical
1034,1034_w0025,1,as,153.605,153.705,whisper_canonical
1034,1034_w0025,2,you,153.745,153.885,whisper_canonical
1034,1034_w0025,3,"said,",153.925,154.126,whisper_canonical
1034,1034_w0025,4,we'll,154.166,154.346,whisper_canonical
1034,1034_w0025,5,also,154.366,154.606,whisper_canonical
1034,1034_w0025,6,hear,154.646,154.826,whisper_canonical
1034,1034_w0025,7,from,154.866,155.067,whisper_canonical
1034,1034_w0025,8,surrogates,155.347,155.947,whisper_canonical
1034,1034_w0025,9,from,156.088,156.308,whisper_canonical
1034,1034_w0025,10,these,156.408,156.588,whisper_canonical
1034,1034_w0025,11,campaigns.,156.688,157.389,whisper_canonical
1034,1034_w0026,0,What,157.749,157.869,whisper_canonical
1034,1034_w0026,1,are,157.909,158.009,whisper_canonical
1034,1034_w0026,2,some,158.049,158.23,whisper_canonical
1034,1034_w0026,3,names,158.29,158.73,whisper_canonical
1034,1034_w0026,4,of,159.411,159.491,whisper_canonical
1034,1034_w0026,5,people,159.591,159.991,whisper_canonical
1034,1034_w0026,6,that,160.091,160.251,whisper_canonical
1034,1034_w0026,7,we,160.332,160.512,whisper_canonical
1034,1034_w0026,8,should,160.572,160.772,whisper_canonical
1034,1034_w0026,9,expect,160.812,161.152,whisper_canonical
1034,1034_w0026,10,to,161.212,161.312,whisper_canonical
1034,1034_w0026,11,"see,",161.433,161.773,whisper_canonical
1034,1034_w0026,12,possibly,162.053,162.634,whisper_canonical
1034,1034_w0026,13,even,163.154,163.334,whisper_canonical
1034,1034_w0026,14,before,163.374,163.655,whisper_canonical
1034,1034_w0026,15,the,163.695,163.775,whisper_canonical
1034,1034_w0026,16,debate,163.815,164.075,whisper_canonical
1034,1034_w0026,17,"begins,",164.135,164.656,whisper_canonical
1034,1034_w0026,18,and,164.976,165.056,whisper_canonical
1034,1034_w0026,19,then,165.096,165.256,whisper_canonical
1034,1034_w0026,20,"after,",165.557,165.817,whisper_canonical
1034,1034_w0026,21,as,165.897,165.977,whisper_canonical
1034,1034_w0026,22,you,166.017,166.117,whisper_canonical
1034,1034_w0026,23,"said,",166.177,166.397,whisper_canonical
1034,1034_w0026,24,to,166.497,166.618,whisper_canonical
1034,1034_w0026,25,spin,166.738,167.038,whisper_canonical
1034,1034_w0026,26,the,167.078,167.158,whisper_canonical
1034,1034_w0026,27,media,167.238,167.779,whisper_canonical
1034,1034_w0026,28,on,167.979,168.079,whisper_canonical
1034,1034_w0026,29,tonight's,168.119,168.479,whisper_canonical
1034,1034_w0026,30,debate?,168.519,168.84,whisper_canonical
1034,1034_w0027,0,So,171.397,171.517,whisper_canonical
1034,1034_w0027,1,I,171.577,171.617,whisper_canonical
1034,1034_w0027,2,just,171.658,171.838,whisper_canonical
1034,1034_w0027,3,walked,171.898,172.118,whisper_canonical
1034,1034_w0027,4,by,172.178,172.518,whisper_canonical
1034,1034_w0027,5,California,172.799,173.339,whisper_canonical
1034,1034_w0027,6,Governor,173.399,173.82,whisper_canonical
1034,1034_w0027,7,"Newsom,",174.06,174.501,whisper_canonical
1034,1034_w0027,8,who,174.921,175.041,whisper_canonical
1034,1034_w0027,9,is,175.101,175.181,whisper_canonical
1034,1034_w0027,10,here,175.241,175.542,whisper_canonical
1034,1034_w0027,11,for,175.662,175.922,whisper_canonical
1034,1034_w0027,12,Kamala,175.942,176.583,whisper_canonical
1034,1034_w0027,13,Harris.,176.603,177.023,whisper_canonical
1034,1034_w0028,0,And,177.484,177.564,whisper_canonical
1034,1034_w0028,1,previously,177.644,178.245,whisper_canonical
1034,1034_w0028,2,I,178.325,178.385,whisper_canonical
1034,1034_w0028,3,spoke,178.445,179.025,whisper_canonical
1034,1034_w0028,4,to,179.045,179.086,whisper_canonical
1034,1034_w0028,5,Byron,179.526,179.826,whisper_canonical
1034,1034_w0028,6,"Donalds,",179.866,180.427,whisper_canonical
1034,1034_w0028,7,a,180.467,180.507,whisper_canonical
1034,1034_w0028,8,congressman,180.547,181.028,whisper_canonical
1034,1034_w0028,9,from,181.048,181.208,whisper_canonical
1034,1034_w0028,10,"Florida,",181.288,181.828,whisper_canonical
1034,1034_w0028,11,as,182.729,182.83,whisper_canonical
1034,1034_w0028,12,well,182.87,183.09,whisper_canonical
1034,1034_w0028,13,as,183.25,183.37,whisper_canonical
1034,1034_w0028,14,Matt,183.811,184.011,whisper_canonical
1034,1034_w0028,15,"Gaetz,",184.051,184.371,whisper_canonical
1034,1034_w0028,16,who,184.531,184.652,whisper_canonical
1034,1034_w0028,17,is,184.692,184.772,whisper_canonical
1034,1034_w0028,18,also,184.852,185.112,whisper_canonical
1034,1034_w0028,19,here.,185.192,185.432,whisper_canonical
1034,1034_w0029,0,I,185.452,185.472,whisper_canonical
1034,1034_w0029,1,"mean,",185.853,186.013,whisper_canonical
1034,1034_w0029,2,each,186.073,186.213,whisper_canonical
1034,1034_w0029,3,candidate,186.293,186.754,whisper_canonical
