debate_audio_id,turn_id,speaker_raw,n_words,start_sec,end_sec,duration_sec,text
1003,1003_t0011,SHAW,5,426.9,428.83,1.93,"Gov. Dukakis, your one-minute rebuttal."
1003,1003_t0012,DUKAKIS,100,429.43,465.06,35.63,"Bernard, this was the first presidential decision that we as nominees were called upon to make. And that's why people are so concerned. Because it was an opportunity for us to demonstrate what we were looking for in a running mate. More than that, it was the first national security decision that we had to make. The Vice President talks about national security. Three times since World War II, the Vice President has had to suddenly become the President and commander in chief. I picked Lloyd Bentsen, because I thought he was the best qualified person for the job. GOY."
1003,1003_t0013,DUKAKIS,29,465.06,478.55,13.49,"Mr. Bush picked Dan Quayle, and before he did it, he said, watch my choice for vice president, it will tell all And it sure did. It sure did."
1003,1003_t0014,SHAW,6,478.55,485.69,7.14,Ann Compton for the Vice President.
1003,1003_t0015,COMPTON,68,485.88,511.41,25.53,"Thank you, Bernie. Mr. Vice President, yes, we read your lips: no new taxes. But despite that same pledge from President Reagan, after income tax rates were cut, in each of the last five years, some Federal taxes have gone up, on Social Security, cigarettes, liquor, even long distance telephone calls. Now that's money straight out of people's wallets. Isn't the phrase, no new taxes, misleading the voters?"
1003,1003_t0016,BUSH,257,511.76,604.86,93.1,"No, because I'm pledged to that, and yes, some taxes have gone up. And the main point is, taxes have been cut, and yet income is up to the Federal Government by 25 percent in the last three years. And so what I want to do is keep this expansion going. I don't want to kill it off by a tax increase. More Americans at work today than at any time in the history of the country, and a greater percentage of the work force. And the way you kill expansions is to raise taxes. And I don't want to do that, and I won't do that. And what I have proposed is something much better. And it's going to take discipline of the executive branch; it's going to take discipline of the congressional branch. And that is what I call a flexible freeze that allows growth about 4 percent or the rate of inflation but does not permit the Congress just to add on spending. I hear this talk about a blank check. The American people are pretty smart: they know who writes out the checks. And they know who appropriates the money. It is the United States Congress. And by two to one, Congress is blamed for these deficits. And the answer is to discipline both the executive branch and the congressional branch by holding the line on taxes. So I'm pledged to do that. And those pessimists who say it can't be done, I'm sorry, I just have a fundamental disagreement with them"
1003,1003_t0017,SHAW,5,604.86,606.81,1.95,"Gov. Dukakis, your one-minute response."
1003,1003_t0018,DUKAKIS,222,607.3,672.58,65.28,"Ann, the Vice President made that pledge. He's broken it three times in the past year already. So it isn't worth the paper it's printed on. And what I'm concerned about is that if we continue with the policies that Mr. Bush is talking about here this evening, the flexible freeze somebody described it the other day as a kind of economic slurpee he wants to spend billions on virtually every weapons system around. He says he's not going to raise taxes, though he has broken that pledge repeatedly. He says he wants to give the wealthiest one percent of the people in this country a five-year $40 billion tax break, and we're going to pay for it. And he's been proposing all kinds of programs for new spending costing billions. Now if we continue with these policies, this trillion and a half dollars worth of new debt that's already been added on the backs of the American taxpayer is going to increase even more, and if we continue with this for another four years, then I'm worried about the next generation, whether we can ever turn this situation around. No, we need a chief executive who is prepared to lead; who won't blame the Congress; who will lead to bring down that deficit, who will make tough choices on spending"
1003,1003_t0019,SHAW,1,672.58,672.78,0.2,Governor
1003,1003_t0020,DUKAKIS,22,673.77,677.66,3.89,will go out and do the job that we expect of him and do it with the Congress of the United States.
1003,1003_t0021,SHAW,4,678.2,683.32,5.12,And to Governor Dukakis.
1003,1003_t0022,COMPTON,46,683.32,698.11,14.79,"Governor, let me follow up on that by asking you you've said it many times that you have balanced ten budgets in a row in Massachusetts. Are you promising the American people here tonight that within a four-year presidential term, you will balance the federal budget?"
1003,1003_t0023,DUKAKIS,410,698.11,818.86,120.75,"No, I'm not sure I can promise that; I don't think either one of us can really. There is no way of anticipating what may happen. I will say this: that we will set as our goal a steady, gradual reduction of the deficit, which will require tough choices on spending; it will require a good strong rate of economic growth; it will require a plan that the president works out with the Congress doesn't blame them, works it out with them, which brings that deficit down; it will require us to go out and collect billions and billions of dollars in taxes owed that aren't being paid in this country. And that's grossly unfair to the average American who is paying his taxes and paying them on time and doesn't have any alternative: it's taken out of his paycheck. Mr. Bush says we are going to put the IRS on every taxpayer. That's not what we are going to do. I'm for the taxpayer bill of rights. But I think it's unconscionable, Ann, that we should be talking or thinking about imposing new taxes on average Americans when there are billions out there, over $100 billion, in taxes owed that aren't being paid. Now, I think if we work together on it, and if you have a president that will work with the Congress and the American people, we can bring that deficit down steadily, $20, $25, $30 billion a year, build economic growth, build a good strong future for America, invest in those things which we must invest in economic development, good jobs, good schools for our kids, college opportunity for young people, decent health care and affordable housing, and a clean and safe environment. We can do all of those things, and at the same time build a future in which we are standing on a good strong fiscal foundation. Senator Bentsen said, as you recall at the debate with Senator Quayle, that if you give any of us $200 billion worth of hot checks a year, we can create an illusion of prosperity. But sooner or later that credit card mentality isn't going to work. And I want to bring to the White House a sense of strength and fiscal responsibility which will build a good strong foundation under which this country, or above which country can move, grow, invest, and build the best America for its people and for our kids and our grandkids."
1003,1003_t0024,SHAW,5,818.86,820.7,1.84,"Mr. Vice President, your response."
1003,1003_t0025,BUSH,191,820.7,885.7,65.0,"The Governor has to balance the budget in his state he is required to by law. He has raised taxes several times. I wish he would join me, as a matter of fact, in appealing to the American people for the balanced budget amendment for the federal government and for the line-item veto. I'd like to have that line-item veto for the president, because I think that would be extraordinarily helpful. And I won't do one other thing that he's had to do: took $29 million out of his state pension fund that's equivalent at the federal level of taking out of the Social Security trust fund. I'm not going to do that; I won't do that. And so I'm still a little unclear as to whether he's for or against the tax increase. I have been for the taxpayer bill of rights all along. And this idea of unleashing a whole bunch-an army, a conventional force army, of IRS agents into everybody's kitchen I mean, he's against most defense matters, and now he wants to get an army of JRS auditors going out there. I'm against that; I oppose that."
1003,1003_t0026,SHAW,75,885.7,923.12,37.42,"I'm going to say this and I'm going to say it once to every person in this auditorium: what these candidates are about is of utmost seriousness to the American voters; they should be heard and you should be quiet. If you are not quiet, I am going to implore the candidates to do something about quieting their own partisans. But we cannot get through this program with these outbursts. Margaret Warner for Governor Dukakis."
1003,1003_t0027,WARNER,22,923.75,931.61,7.86,"Good evening, Governor, Mr. Vice President. Governor, you won the first debate on intellect, and yet you lost it on heart."
1003,1003_t0028,BUSH,3,931.61,932.4,0.79,Just a minute.
1003,1003_t0029,WARNER,4,933.84,936.1,2.26,You'll get your turn.
1003,1003_t0030,DUKAKIS,10,936.1,939.7,3.6,I don't know if the vice president agrees with that.
1003,1003_t0031,WARNER,42,939.7,953.87,14.17,"The American public admired your performance, but didn't seem to like you much. Now, Ronald Reagan has found his personal warmth to be a tremendous political asset. Do you think that a president has to be likable to be an effective leader?"
1003,1003_t0032,DUKAKIS,454,953.87,1081.77,127.9,"Margaret, may I go back and just say to the vice president that I didn't raid the pension fund of Massachusetts you are dead wrong, George, we didn't do that. As a matter of fact, I'm the first governor in the history of my state to fund that pension system, and I'm very proud of that. I have been in politics for twenty-five years, Margaret; I've won a lot of elections, I've lost a few, as you know, and learned from those losses. I won the Democratic nomination in fifty-one separate contests. I think I'm a reasonably likable guy. I'm serious though I think I'm a little more lovable these days than I used to be back in my youth when I began in my state legislature. But I'm also a serious guy. I think the presidency of the United States is a very serious office, and I think we have to address these issues in a very serious way. So I hope and expect that I will be liked by the people of this country as president of the United States; I certainly hope I will be liked by them on the 8th of November. But I also think it's important to be somebody who is willing to make those tough choices. Now, we have just heard two or three times from the vice president: he's not going to raise taxes. I repeat, within days after you made that pledge, you broke it; you said, well, maybe as a last resort we'll do it. And you supported legislation this year that's involved tax increases not once, but twice. So that pledge isn't realistic, and I think the vice president knows it; I think the people of this country know it. The fact of the matter is that the next president of the United States is going to have to go to the White House seriously, he is going to have to work with the Congress seriously he can't turn to the Congress and blame them for the fact that we don't have a balanced budget and that we have billions and billions of dollars in red ink. And I am going to be a president who is serious, I hope and expect will be liked by the American people. But more than that, to do the kind of job that I'm elected to do, will do it with as much good humor as I can, but at the same time will do it in a way which will achieve the goals we want for ourselves and our people. And I think we know what they are: a good strong future, a future in which there is opportunity for all of our citizens."
1003,1003_t0033,SHAW,6,1081.77,1084.09,2.32,One minute from the Vice President.
1003,1003_t0034,BUSH,211,1084.09,1154.74,70.65,"I don't think it's a question of whether people like you or not to make you an effective leader. I think it's whether you share the broad dreams of the American people, whether you have confidence in the people's ability to get things done or whether you think it all should be turned over, as many of the liberals do, to Washington, D.C. You see, I think it's a question of values, not likability or loveability, it's a question in foreign affairs in experience, knowing world leaders, knowing how to build on a superb record of this administration in arms control, because you'd know exactly how to begin. You have to learn from experience that making unilateral cuts in defense system is not the way that you enhance peace. You've got to understand that it is only the United States that can stand for freedom and democracy around the world and we can't turn it over to the United Nations or other multilateral organizations. It is, though, trying to understand the heartbeat of the country. And I know these campaigns get knocked a lot, but I think I'd be a better President now for having had to travel to these communities and understand the family values and the importance of neighborhood."
1003,1003_t0035,BUSH,1,1154.74,1154.79,0.05,Please.
1003,1003_t0036,SHAW,6,1154.79,1158.21,3.42,Margaret Warner for the Vice President.
1003,1003_t0037,WARNER,80,1158.21,1184.88,26.67,"I'd like to follow up on that Mr. Vice President. The tenor of the campaign you've been running, in terms of both the issues and your rhetoric has surprised even some of your friends. Senator Mark Hatfield who's known your family a long time and who knew your father, the late Senator Prescott Bush, said, and I quote, ""If his father were alive today, I'm sure his father would see it as a shocking transformation."" Is Senator Hatfield right?"
1003,1003_t0038,BUSH,5,1184.88,1186.6,1.72,What was he referring to?
1003,1003_t0039,WARNER,9,1186.6,1188.82,2.22,He was referring to your performance in the campaign.
1003,1003_t0040,BUSH,305,1188.82,1300.07,111.25,"I think my dad would be pretty proud of me, because I think we've come a long long way and I think, you know three months ago, I remember some of the great publications in this country had written me off. And what I've had to do is define, not just my position, but to define his and I hope I've done it fairly. And the reason I've had to do that is that he ran on the left in the Democratic primary, ran firmly and ran with conviction and ran on his record. And then at that Democratic convention, they made a determination and they said there, ideology doesn't matter, just competence. And in the process the negatives began. It wasn't me that was there at that convention. Thank God I was up in the with Jimmy Baker camping out and I didn't have to hear all the personal attacks on me out of that Democratic convention. And I'm not the one that compared the President of the United States rotting from like a dead fish from the head down. I didn't do that. But I have defined the issues and I am not going to let Governor Dukakis go through this election without explaining some of these very liberal position he's the one a liberal, traditional liberal a progressive liberal Democrat. He's the one that brought up, to garner primary votes, the whole question of the ACLU. And I have enormous difference with the ACLU on their politic agenda. Not on their defending some minority opinion on the right or the left. I support that. But what I don't like is this left wing political agenda and therefore I have to help define that and if he's unwilling to do it, if he says ideology doesn't matter, I don't agree with him."
1003,1003_t0041,SHAW,5,1300.07,1303.95,3.88,One minute from Governor Dukakis.
1003,1003_t0042,DUKAKIS,228,1304.21,1367.67,63.46,"Well, Margaret, we've heard it again tonight and I'm not surprised, the labels. I guess the Vice President two or three times, said I was coming from the left. In 1980, President Reagan called you a liberal for voting for Federal gun control. And this is something Republicans have used for a long time. They tried it with Franklin Roosevelt and Harry Truman and John Kennedy. It's not labels. It's our vision of America. And we have two fundamentally different visions of America. The Vice President is complacent, thinks we ought to stick with the status quo, doesn't think we ought to move ahead, thinking things are okay as they are. I don't. I think this is a great country, because we've always wanted to do better, to make our country better, to make our lives better. We've always been a nation which was ambitious for America and we move forward. And that's the kind of America I want. That's the kind of leadership I want to provide. But I don't think these labels mean a thing and I would hope that tonight in the course of the rest of this campaign, we can have good solid disagreements on issues. There's nothing the matter with that. But let's stop labeling each other and lets' get to the heart of the matter which is the future of this country."
1003,1003_t0043,SHAW,6,1367.67,1374.67,7.0,"Andrea Mitchell, for the Vice President."
1003,1003_t0044,MITCHELL,128,1374.67,1421.12,46.45,"Mr. Vice President, Governor. Mr. Vice President, let me return for a moment to the issue of the budget, because so much has already been put off limits in your campaign that most people do not believe that the flexible freeze alone will solve the problem of the deficit. So, let's turn to defense for a moment. Pentagon officials tell us that there is not enough money in the budget to handle military readiness, preparedness, as well as new weapons systems that have been proposed, as well as those already in the pipeline. You were asked in the first debate what new weapons systems you would cut. You mentioned three that had already been canceled. Can you tonight share with us three new weapons systems that you could?"
1003,1003_t0045,BUSH,356,1421.12,1544.18,123.06,"If I knew of three new weapons systems that I thought were purely waste and weren't protected by the Congress, they wouldn't be in the budget. They would not be in the budget, but you want one now? I'll give you one, that HMET, that heavy truck, that's cost what is it $850 million and the Pentagon didn't request it and, yet, a member of Congress, a very powerful one, put it in the budget. I think we can save money through this whole very sophisticated concept, Andrea, that I know you do understand of competitive strategies. It is new and it is very very different than what's happened, but it's not quite ready to be totally implemented. But it's very important. I think we can say, through the Packard Commission Report and I'm very proud that David Packard, the originator of that report, is strongly supporting me. So, it's not a question of saying our budget is full of a lot of waste. I don't believe that. I do think this. We're in the serious stages of negotiation with the Soviet Union on the strategic arms control talks. And we're protecting a couple of options in terms of modernizing our strategic forces. My Secretary of Defense is going to have to make a very difficult decision in which system to go forward with. But we are protecting both of them. We are moving forward with negotiations and, you see, I just think it would be dumb negotiating policy with the Soviets to cut out one or the other of the two options right now. The Soviets are modernizing. They continue to modernize and we can't simply we've got enough nuclear weapons, let's freeze. We can't do that. We have to have modernization, especially if we achieve the 50 percent reduction in strategic weapons that our President is taking the leadership to attain. And, so, that's the way I'd reply to it and I believe we can have the strongest and best defense possible if we modernize, if we go forward with competitive strategies and if we do follow through on the Packard Commission report."
1003,1003_t0046,SHAW,4,1544.18,1546.85,2.67,"Governor Dukakis, one minute."
1003,1003_t0047,DUKAKIS,243,1546.85,1612.55,65.7,"Well, Andrea, we've just had another example of why the Vice President's mathematics just don't add up. I think you know because you've covered these issues, that there's no way that we can build all of the weapons the Vice President says he wants to build within the defense budget. Everybody knows that including the people at the Pentagon. Now, my defense secretary is going to have a lot to do with those decisions, but it's going to be the President who's going to have to ultimately decide before that budget goes to the Congress what weapons systems are going to go and what are going to stay. We are not going to spend the billions and trillions that Mr. Bush wants to spend on Star Wars. We're not going to spend billions on MX's on railroad cars, which is a weapons system we don't need, can't afford and won't help our defense posture at all. We're not going to spend hundreds of millions on a space plane from Washington to Tokyo. Those are decisions that the chief executive has to make. Yes, we're going to have a strong and credible and effective nuclear deterrent. We're going to go forward with the Stealth and the D-5 and the advance cruise missile and good conventional forces. But the next President of the United States will have to make some tough and difficult decisions. I'm prepared to make them, the Vice President is not."
1003,1003_t0048,SHAW,7,1612.55,1617.35,4.8,"Governor, Andrea has a question for you."
1003,1003_t0049,MITCHELL,120,1617.35,1660.38,43.03,"Governor, continuing on that subject, then, you say we have to do something about conventional forces. You have supported the submarine launch missile, the D-5 you just referred to. Yet, from Jerry Ford to Jimmy Carter to Ronald Reagan, there has been a bipartisan consensus in favor of modernizing the land based missiles. Now, you have ruled out the MX and the Midgetman. More recently, some of your aides have hinted at some flexibility you might show about some other new form of missile. Can you tell us tonight why you have rejected the wisdom of people as diverse as Sam Nunn, Henry Kissinger, Al Gore, people in both parties and what type of land based missile would you consider?"
1003,1003_t0050,DUKAKIS,386,1660.38,1783.57,123.19,"Well, Andrea, today we have 13,000 strategic nuclear warheads, on land, on air and in the sea. That's an incredibly powerful nuclear deterrent. I don't rule out modernization, and there are discussions going on now in the Congress, I know with the Pentagon, about a less expensive modernized land-based leg of the triad. But there are limits to what we can spend. There are limits to this nation's ability to finance these weapons systems. And one of the things that the Vice President either ignores or won't address is the fact that you can't divorce our military security from our economic security. How can we build a strong America militarily that's teeter-tottering on a mountain of debt? And if we go forward with the kinds of policies that the Vice President is suggesting tonight and has in the past, that debt is going to grow bigger and bigger and bigger. So military security and economic security go hand in hand. And we will have a strong and effective and credible nuclear deterrent. We're going to have conventional forces that are well maintained, well equipped, well trained, well supported. And we have serious problems with our conventional forces at the present time, and they'll get worse unless we have a president who is willing to make some of these decisions. And we also have important domestic priorities, in education and housing and health care, in economic development, in job training, in the environment. And all of these things are going to have to be addressed. That's why I say again to all of you out there who have to deal with your household budgets and know how difficult it is that the next President has to do the same. I want the men and women of our Armed Forces to have the support they need to defend us; the support they need when they risk our lives to keep us free and to keep this country free. But we cannot continue to live on a credit card. We cannot continue to tell the American people that we're going to build all of these systems, and at the same time, invest in important things here at home, and be serious about building a strong and good America. And that's the kind of America I want to build."
1003,1003_t0051,SHAW,6,1783.6,1785.71,2.11,One minute for the Vice President.
1003,1003_t0052,BUSH,4,1785.71,1786.5,0.79,I think the foremost
1003,1003_t0053,BUSH,12,1786.5,1792.6,6.1,Can we start the clock over? I held off for the applause.
1003,1003_t0054,SHAW,4,1792.6,1795.0,2.4,"You can proceed, sir."
1003,1003_t0055,BUSH,181,1795.95,1859.83,63.88,"I think the foremost responsibility of a president really gets down to the national security of this country. The Governor talks about limits, what we can't do, opposes these two modernization systems, talks now about well, we'll develop some new kind of a missile. It takes eight years, ten years, to do that. He talked about a nuclear freeze back at the time when I was in Europe trying to convince European public opinion that we ought to go forward with the deployment of the INF weapons. And thank God, the freeze people were not heard. They were wrong. And the result is, we deployed, and the Soviets kept deploying, and then we negotiated from strength. And now we have the first arms control agreement in the nuclear age to ban weapons. You just don't make unilateral cuts in the naive hope that the Soviets are going to behave themselves. World peace is important, and we have enhanced the peace. And I'm proud to have been a part of an administration that has done exactly that. Peace through strength works."
1003,1003_t0056,SHAW,5,1859.83,1861.83,2.0,Ann Compton for Gov. Dukakis.
1003,1003_t0057,COMPTON,74,1861.83,1889.55,27.72,"Governor, today they may call them role models, but they used to be called heroes, the kind of public figure who could inspire a whole generation, someone who was larger than life. My question is not, who your heroes were. My question instead is, who are the heroes who are there in American life today? Who are the ones who you would point out to young Americans as figures who should inspire this country?"
1003,1003_t0058,DUKAKIS,371,1889.55,2012.23,122.68,"Well, I think when I think of heroes, I think back, not presently, Ann. But there are many people who I admire in this country today. Some of them are in public life in the Senate, the Congress. Some of my fellow governors who are real heroes to me. I think of those young athletes who represented us at the Olympics were tremendously impressive. We were proud of them. We felt strongly about them, and they did so well by us. I can think of doctors and scientists, Jonas Salk who for example discovered a vaccine which cured one of the most dread diseases we ever had. And he's a hero. I think of classroom teachers, classroom teachers that I have had, classroom teachers that youngsters have today who are real heroes to our young people. Because they inspire them. They teach them. But more than that, they are role models. Members of the clergy who have done the same. Drug counselors out there in the street who are providing help to youngsters who come up to me and others who ask for help and want help, are doing the hard work, the heroic work, which it takes to provide that kind of leadership, that kind of counseling, that kind of support. I think of people in the law enforcement community who are taking their lives in their hands everyday, when they go up to one of those doors and kick it down and try to stop this flow of drugs into our communities and into our kids. So there are many, many heroes in this country today. These are people that give of themselves everyday and every week and every month. In many cases they are people in the community who are examples, and are role models. And I would hope that one of the things I could do as president is to recognize them, to give them the kind of recognition that they need and deserve so that more and more young people can themselves become the heroes of tomorrow, can go into public service, can go into teaching, can go into drug counseling, can go into law enforcement, and be heroes themselves to generations yet to come."
1003,1003_t0059,SHAW,6,2012.23,2014.29,2.06,One minute for Vice President Bush.
1003,1003_t0060,BUSH,189,2014.29,2079.08,64.79,"I think of a teacher right here, largely Hispanic school, Jaime Escalante, teaching calculus to young kids, 80 percent of them going on to college. I think of a young man now in this country named Villadaris, who was released from a Cuban jail. Came out and told the truth in this brilliant book, Against All Hope, about what is actually happening in Cuba. I think of those people that took us back into space again, Rick Houk and that crew, as people that are worthy of this. I agree with the Governor on athletics. And there's nothing corny about having sports heroes, young people that are clean and honorable and out there setting the pace. I think of Dr. Fauci. Probably never heard of him. You did, Ann heard of him. He's a very fine research, top doctor, at the National Institute of Health, working hard doing something about research on this disease of AIDS. But look, I also think we ought to give a little credit to the President of the United States. He is the one who has gotten us that first arms control agreement."
1003,1003_t0061,SHAW,3,2079.08,2079.81,0.73,Mr. Vice President
1003,1003_t0062,BUSH,19,2079.81,2085.53,5.72,"And the cynics abounded. And he is leaving office with a popularity at an all-time high, because American people"
1003,1003_t0063,SHAW,7,2085.53,2086.56,1.03,"Mr. Vice President, your time has expired."
1003,1003_t0064,BUSH,5,2086.56,2087.37,0.81,"say, he is our hero."
1003,1003_t0065,SHAW,9,2087.37,2093.6,6.23,"Ann has a question for you, Mr. Vice President."
1003,1003_t0066,COMPTON,55,2093.6,2111.63,18.03,"Let's change the pace a little bit, Mr. Vice President. In this campaign some hard and very bitter things have been spoken by each side about each side. If you'd consider for a moment Gov. Dukakis and his years of public service, is there anything nice you can say about him, anything you find admirable?"
1003,1003_t0067,BUSH,13,2111.63,2115.54,3.91,You're stealing my close. I had something very nice to say in there.
1003,1003_t0068,COMPTON,6,2115.54,2117.55,2.01,Somebody leak my question to you?
1003,1003_t0069,BUSH,347,2117.55,2230.92,113.37,"No, let me tell you something about that. And Barbara and I were sitting there before that Democratic convention. And we saw the Governor and his son on television the night before and his family, and his mother who was there. And I'm saying to Barbara, you know, we've always kept family as a bit of an oasis for us. You all know me, and we've held it back a little. But we used that as a role model, the way he took understandable pride in his heritage, what his family means to him. And we've got a strong family. And we watched that. And we said, hey, we've got to unleash the Bush kids. And so you saw ten grandchildren there jumping all over their grandfather at the convention. You see our five kids, all over this country, and their spouses. And so I would say that the concept of the Dukakis family has my great respect. And I would say, I don't know whether that's kind or not, it's just an objective statement. I think the man anybody that gets into this political arena and has to face you guys everyday deserves a word of praise. Because it's gotten a little ugly out there. It's gotten a little nasty. It's not much fun sometimes. And I would cite again Dan Quayle. I've been in politics a long time, and I don't remember that kind of piling on, that kind of ugly rumor that never was true, printed. Now, come on. So some of it is unfair. But he's in the arena. Teddy Roosevelt used to talk about the arena, you know, daring to fail greatly or succeed, no matter. He's in there. So I salute these things. I salute those who participate in the political process. Sam Raybum had a great expression on this. He said here were all these intellectuals out there griping and complaining and saying it was negative coverage. Rayburn says, yeah, and that guy never ran for sheriff either. Michael Dukakis has run for sheriff, and so has George Bush."
1003,1003_t0070,SHAW,4,2230.92,2233.51,2.59,"Governor, a one-minute response."
1003,1003_t0071,DUKAKIS,15,2233.51,2242.26,8.75,"I didn't hear the word ""liberal"" or ""left"" one time. I thank you for that."
1003,1003_t0072,BUSH,5,2242.26,2245.04,2.78,That's not bad. That's true.
1003,1003_t0073,DUKAKIS,154,2245.04,2302.13,57.09,"And doesn't that prove the point, George, which is that values like family and education and community, decent homes for young people that family on Long Island I visited on Monday where Lou and Betty Tolamo bought a house for some $19,000 back in 1962, have had seven children, they're all making good livings. They can't live in the community which they grew up in. Those are basic American values. I believe in them. I think you believe in them. They're not left or right. They're decent American values. I guess the one thing that concerns me about this, Ann, is this attempt to label things which all of us believe in. We may have different approaches. We may think that you deal with them in different ways. But they're basically American, I believe in them. George Bush believes in them. I think the vast majority of Americans believe in them. And I hope"
1003,1003_t0074,SHAW,1,2302.13,2302.22,0.09,Governor.
1003,1003_t0075,DUKAKIS,26,2302.22,2309.57,7.35,the tone we've just heard might just be the tone we have for the rest of the campaign. I think the American people would appreciate that.
1003,1003_t0076,SHAW,6,2309.57,2313.97,4.4,Margaret Warner for the vice president.
1003,1003_t0077,WARNER,107,2314.08,2351.4,37.32,"Vice President Bush, abortion remains with us as a very troubling issue, and I'd like to explore that for a minute with you. You have said that you regard abortion as murder, yet you would make exceptions in the case of rape and incest. My question is, why should a woman who discovers through amniocentesis that her baby will be born with Tay-Sachs disease, for instance, that the baby will live at most two years, and those two years in incredible pain, be forced to carry the fetus to term, and yet a woman who becomes pregnant through incest would be allowed to abort her fetus?"
