sentence_id,damsl_tags,beads_tags,n_damsl_tags,n_beads_tags
1001_t0009_s011,S,IP,1,1
1001_t0009_s012,S,IT; IP,1,2
1001_t0010_s001,S,,1,0
1001_t0010_s002,S-Inform,,1,0
1001_t0010_s003,YNQ,REB; CB,1,2
1001_t0011_s001,S; IAFA; IAFA-OF,IT; IP,3,2
1001_t0011_s002,S,,1,0
1001_t0011_s003,S; AGR,,2,0
1001_t0011_s004,S; EXPL,AE; REB; CB,2,3
1001_t0011_s005,S; S-Inform,IT,2,1
1001_t0011_s006,S,,1,0
1001_t0011_s007,S; S-Inform,,2,0
1001_t0011_s008,S-Inform,SE,1,1
1001_t0011_s009,S-Inform; INT,AP; IT,2,2
1001_t0011_s010,S,IT,1,1
1001_t0011_s011,S,UF; IT,1,2
1001_t0011_s012,S,AE; UF,1,2
1001_t0011_s013,S; TT,,2,0
1001_t0011_s014,Q-W,REB,1,1
1001_t0011_s015,S; CH,ATTR; REB,2,2
1001_t0012_s001,TG,,1,0
1001_t0012_s002,TG,,1,0
1001_t0013_s001,S,,1,0
1001_t0013_s002,S,IT,1,1
1001_t0013_s003,S,IT,1,1
1001_t0013_s004,S,,1,0
1001_t0013_s005,S; HS,,2,0
1001_t0013_s006,S,,1,0
1001_t0013_s007,S; HS,IT,2,1
1001_t0013_s008,S,REB,1,1
1001_t0013_s009,S; S-Inform,IT; SE,2,2
1001_t0013_s010,S; IAFA,DF; IP,2,2
1001_t0013_s011,S,,1,0
1001_t0013_s012,S; HS,IT,2,1
1001_t0013_s013,S; HS,IT,2,1
1001_t0013_s014,S,,1,0
1001_t0013_s015,IAFA,REB,1,1
1001_t0014_s001,S,,1,0
1001_t0014_s002,S,,1,0
1001_t0015_s001,S; HS,,2,0
1001_t0015_s002,S,,1,0
1001_t0015_s003,Q-W; OQ,,2,0
1001_t0016_s001,ANS,,1,0
1001_t0016_s002,S; IAFA; TT,IT,3,1
1001_t0016_s003,S,IT; IP,1,2
1001_t0016_s004,S,,1,0
1001_t0016_s005,S; REJ,IP; REB,2,2
1001_t0016_s006,S,IT,1,1
1001_t0016_s007,S,UF,1,1
1001_t0016_s008,S,,1,0
1001_t0016_s009,S,,1,0
1001_t0016_s010,S; S-Inform,UF,2,1
1001_t0016_s011,S,AE,1,1
1001_t0016_s012,S,IP,1,1
1001_t0016_s013,S; S-Inform,ATTR; SE,2,2
1001_t0016_s014,S,UF,1,1
1001_t0016_s015,S,,1,0
1001_t0016_s016,S; CH,ATTR; REB,2,2
1001_t0016_s017,S; S-Inform; CH,PER; ATTR; REB; SE,3,4
1001_t0016_s018,S,REB,1,1
1001_t0016_s019,S,PER; AEX,1,2
1001_t0017_s001,TT; T-REQ,,2,0
1001_t0017_s002,TT,,1,0
1001_t0018_s001,S,,1,0
1001_t0019_s001,S; CH,ATTR; REB; SE,2,3
1001_t0020_s001,S; TG,,2,0
1001_t0021_s001,YNQ; Q-RHET,,2,0
1001_t0021_s002,S; CH,PER; AEX; REB,2,3
1001_t0022_s001,IAFA-OF; TT,PER,2,1
1001_t0022_s002,S,,1,0
1001_t0022_s003,S,IP,1,1
1001_t0022_s004,S-Inform; HS,SE,2,1
1001_t0022_s005,S; S-Inform,ATTR; SE,2,2
1001_t0022_s006,S,CB,1,1
1001_t0022_s007,S,CB; SE,1,2
1001_t0022_s008,S,IP; REB,1,2
1001_t0022_s009,S; S-Inform,ATTR; SE,2,2
1001_t0022_s010,S,REB,1,1
1001_t0022_s011,S; MS,IT; IP,2,2
1001_t0022_s012,S,IT; IP; SE,1,3
1001_t0023_s001,S,,1,0
1001_t0023_s002,TG,,1,0
1001_t0024_s001,TT,,1,0
1001_t0024_s002,S; CH,REB; SE,2,2
1001_t0024_s003,S; CH,REB; SE,2,2
1001_t0024_s004,YNQ,BQ; CB,1,2
1001_t0025_s001,S; ANS,IP,2,1
1001_t0025_s002,S,PB; IP; ATTR,1,3
1001_t0025_s003,S,PB; ATTR,1,2
1001_t0025_s004,S; IAFA-OF,IP,2,1
1001_t0025_s005,S-Inform,,1,0
1001_t0025_s006,S,IP,1,1
1001_t0025_s007,S-Inform; INT,IT; SE,2,2
1001_t0025_s008,S; EXPL,CB,2,1
1001_t0025_s009,S; EXPL,IP,2,1
1001_t0025_s010,S,IP,1,1
1001_t0025_s011,S,,1,0
1001_t0025_s012,S-Inform; HS,IT; SE,2,2
1001_t0025_s013,S-Inform; HS,,2,0
1001_t0025_s014,S-Inform,SE,1,1
1001_t0025_s015,S; EXPL,IP; CB,2,2
1001_t0025_s016,S,IT; SE,1,2
1001_t0025_s017,S,AE; IP,1,2
1001_t0025_s018,IAFA; HS,CB,2,1
1001_t0025_s019,S-Inform,CB; SE,1,2
1001_t0026_s001,TG,,1,0
1001_t0027_s001,S; IAFA,AE; REB,2,2
1001_t0027_s002,S-Inform; CH,AF; ATTR; REB; SE,2,4
1001_t0027_s003,S-Inform,AE; SE,1,2
1001_t0027_s004,S,AE; REB,1,2
1001_t0027_s005,S-Inform; HS,ATTR; SE,2,2
1001_t0027_s006,S,IT; IP,1,2
1001_t0028_s001,S; TG,,2,0
1001_t0028_s002,S-Inform,,1,0
1001_t0029_s001,S,,1,0
1001_t0029_s002,S; HS,,2,0
1001_t0029_s003,S-Inform,AE,1,1
1001_t0029_s004,Q-W; OQ,,2,0
1001_t0030_s001,S,AF; DF,1,2
1001_t0030_s002,S,IP,1,1
1001_t0030_s003,S-Inform,IT; SE,1,2
1001_t0030_s004,S,IP,1,1
1001_t0030_s005,S; ANS,IP,2,1
1001_t0030_s006,S,AF; AP; IT,1,3
1001_t0030_s007,S,IT,1,1
1001_t0030_s008,S,AF; UF,1,2
1001_t0030_s009,S; EXPL,IP,2,1
1001_t0030_s010,S,AF; IP; CB,1,3
1001_t0030_s011,S,AF; IP; CB,1,3
1001_t0030_s012,S; S-Inform,REB; SE,2,2
1001_t0030_s013,S,CB,1,1
1001_t0030_s014,S; EXPL,AF; CB,2,2
1001_t0030_s015,S,IP,1,1
1001_t0030_s016,S,IP,1,1
1001_t0030_s017,S,IP,1,1
1001_t0030_s018,S,,1,0
1001_t0030_s019,S,AF; IP,1,2
1001_t0031_s001,TG; T-REQ,,2,0
1001_t0032_s001,S; CH,REB,2,1
1001_t0033_s001,S; DIS,REB,2,1
1001_t0034_s001,S-Inform; CH,AE; REB,2,2
1001_t0034_s002,S; HS,AE,2,1
1001_t0034_s003,S,AE,1,1
1001_t0034_s004,S,AE,1,1
1001_t0034_s005,S,AE,1,1
1001_t0034_s006,S; INT,,2,0
1001_t0034_s007,S; S-Inform,,2,0
1001_t0034_s008,S,IP,1,1
1001_t0034_s009,S,UF,1,1
1001_t0035_s001,TG,,1,0
1001_t0036_s001,ANS,,1,0
1001_t0036_s002,S; MS,AF,2,1
1001_t0036_s003,S-Inform,AF,1,1
1001_t0036_s004,OQ; SEEP,,2,0
1001_t0037_s001,S; TT,DF; REB,2,2
1001_t0037_s002,S,,1,0
1001_t0037_s003,S; INT,IT; IP,2,2
1001_t0037_s004,S; CH,ATTR; REB,2,2
1001_t0037_s005,Q-RHET; HS,REB; CB,2,2
1001_t0037_s006,S-Inform; HS,REB,2,1
1001_t0037_s007,S; CH,ATTR; REB,2,2
1001_t0038_s001,IAFA; TT,,2,0
1001_t0038_s002,S,,1,0
1001_t0038_s003,IAFA; TG,,2,0
1001_t0039_s001,TT,,1,0
1001_t0039_s002,S; S-Inform; IAFA,AF; IP,3,2
1001_t0039_s003,S; IAFA,IP,2,1
1001_t0039_s004,S,IP,1,1
1001_t0039_s005,S; CH,ATTR; REB,2,2
1001_t0039_s006,S; AGR,IP,2,1
1001_t0039_s007,S,,1,0
1001_t0039_s008,S,IT; IP,1,2
1001_t0040_s001,S,,1,0
1001_t0040_s002,S,,1,0
1001_t0041_s001,S; IAFA,IP,2,1
1001_t0041_s002,S,,1,0
1001_t0041_s003,S,,1,0
1001_t0041_s004,S; CH,REB,2,1
1001_t0041_s005,S,,1,0
1001_t0041_s006,S,,1,0
1001_t0041_s007,S,AE,1,1
1001_t0041_s008,S; S-Inform,IT,2,1
1001_t0041_s009,S; IAFA,AF; IP,2,2
1001_t0041_s010,S,AF,1,1
1001_t0041_s011,S,,1,0
1001_t0042_s001,S,,1,0
1001_t0042_s002,S,,1,0
1001_t0043_s001,GR,,1,0
1001_t0043_s002,GR,,1,0
1001_t0043_s003,S; MS,,2,0
1001_t0043_s004,S,PER,1,1
1001_t0044_s001,Q-W; INT,,2,0
1001_t0045_s001,S,PER,1,1
1001_t0045_s002,S; CH,PER; REB,2,2
1001_t0045_s003,S; CH; HS,ATTR; REB; SE,3,3
1001_t0045_s004,S,,1,0
1001_t0045_s005,OQ; S,,2,0
1001_t0045_s006,OQ; IAFA,CB,2,1
1001_t0046_s001,TG,,1,0
1001_t0046_s002,TG,,1,0
1001_t0047_s001,S; REJ,IP; REB,2,2
1001_t0047_s002,S; CORR,IP; REB,2,2
1001_t0047_s003,S; HS,ATTR; REB,2,2
1001_t0047_s004,S; IAFA,IP; REB,2,2
1001_t0047_s005,S,REB,1,1
1001_t0047_s006,S; HS,ATTR,2,1
1001_t0047_s007,S; HS,SE,2,1
1001_t0047_s008,S,SE,1,1
1001_t0047_s009,S,,1,0
1001_t0047_s010,S,PB; REB,1,2
1001_t0047_s011,S,,1,0
1001_t0047_s012,S,PB; IP; CB,1,3
1001_t0047_s013,S,,1,0
1001_t0047_s014,S,,1,0
1001_t0047_s015,S; REJ,IP; REB,2,2
1001_t0048_s001,YNQ; TG,,2,0
1001_t0048_s002,TG,,1,0
1001_t0049_s001,S; TT,,2,0
1001_t0049_s002,S; CH,PB; REB; CB,2,3
1001_t0049_s003,Q-W; SEEP,REB,2,1
1001_t0049_s004,Q-W; CH,BQ; REB,2,2
1001_t0050_s001,ANS,,1,0
1001_t0050_s002,IAFA,DF; PB,1,2
1001_t0050_s003,S; MS,PB; IP,2,2
1001_t0050_s004,Q-RHET; S,REB,2,1
1001_t0050_s005,S; APO,IP,2,1
1001_t0050_s006,S; DIS,PB; IP; REB,2,3
1001_t0050_s007,S,IP,1,1
1001_t0050_s008,S,AE; IP,1,2
1001_t0050_s009,S,IP,1,1
1001_t0050_s010,S; DIS,IP; REB; CBias,2,3
1001_t0050_s011,S,APAT; IP,1,2
1001_t0050_s012,S,,1,0
1001_t0050_s013,S; IAFA; DIS; INT,PER,4,1
1001_t0050_s014,S,,1,0
1001_t0050_s015,DIS,IP; REB,1,2
1001_t0050_s016,S,IP,1,1
1001_t0050_s017,S,AP; IP,1,2
1001_t0050_s018,S,,1,0
1001_t0050_s019,S,IT,1,1
1001_t0050_s020,S-Inform; HS,SE,2,1
1001_t0050_s021,S,REB,1,1
1001_t0050_s022,S,REB,1,1
1001_t0050_s023,S,PB,1,1
1001_t0050_s024,REJ,REB,1,1
1001_t0050_s025,S; CORR,IP; REB,2,2
1001_t0050_s026,S; CH,IP; ATTR; REB,2,3
1001_t0050_s027,S,IP,1,1
1001_t0050_s028,S,IP; REB,1,2
1001_t0051_s001,TG,,1,0
1001_t0052_s001,S,IP,1,1
1001_t0052_s002,S; CH,PER; REB,2,2
1001_t0052_s003,S,IP,1,1
1001_t0052_s004,S,IP,1,1
1001_t0052_s005,S; HS,AE,2,1
1001_t0052_s006,S,AP; APAT,1,2
1001_t0052_s007,S,APAT; IT,1,2
1001_t0052_s008,S,APAT; IP,1,2
1001_t0052_s009,S; CH,APAT; PER; REB,2,3
1001_t0052_s010,S; S-Inform; CH,ATTR; REB; SE,3,3
1001_t0052_s011,S; CH,ATTR; REB; SE,2,3
1001_t0053_s001,S,,1,0
1001_t0053_s002,S,IP; REB,1,2
1001_t0053_s003,S; REJ,IT; REB,2,2
1001_t0053_s004,S,AE; UF,1,2
1001_t0053_s005,S,AE,1,1
1001_t0053_s006,S,REB,1,1
1001_t0054_s001,S,,1,0
1001_t0054_s002,TG; MS,,2,0
1001_t0054_s003,S,,1,0
1001_t0055_s001,S,,1,0
1001_t0055_s002,S-Inform; HS,SE,2,1
1001_t0055_s003,S-Inform,,1,0
1001_t0055_s004,Q-W; OQ,AE,2,1
1001_t0056_s001,S; IAFA,IP,2,1
1001_t0056_s002,S,IP,1,1
1001_t0056_s003,S,IT; IP,1,2
1001_t0056_s004,S,,1,0
1001_t0056_s005,S,,1,0
1001_t0056_s006,S,CB,1,1
1001_t0056_s007,S,AE,1,1
1001_t0056_s008,S,,1,0
1001_t0056_s009,S,,1,0
1001_t0056_s010,S-Inform,,1,0
1001_t0056_s011,S,IP,1,1
1001_t0056_s012,S,UF; IP,1,2
1001_t0056_s013,S,IP,1,1
1001_t0056_s014,S,IP,1,1
1001_t0056_s015,S,,1,0
1001_t0056_s016,S,,1,0
1001_t0056_s017,CORR,,1,0
1001_t0056_s018,S-Inform,,1,0
1001_t0056_s019,S; IAFA,IP; CB,2,2
1001_t0056_s020,S,IP,1,1
1001_t0056_s021,S; EXPL,,2,0
1001_t0056_s022,S,,1,0
1001_t0056_s023,S,UF,1,1
1001_t0056_s024,S; ANS,,2,0
1001_t0057_s001,TG,,1,0
1001_t0058_s001,S; S-Inform; DIS,AE; IP; REB,3,3
1001_t0058_s002,S,,1,0
1001_t0058_s003,S; S-Inform; CH,AE; ATTR; REB,3,3
1001_t0058_s004,S,AE,1,1
1001_t0058_s005,S-Inform; HS,SE,2,1
1001_t0058_s006,S,AE; UF,1,2
1001_t0058_s007,S,AE,1,1
1001_t0058_s008,S,,1,0
1001_t0058_s009,S,IP,1,1
1001_t0058_s010,S,AP; IT,1,2
1001_t0058_s011,S,IP,1,1
1001_t0058_s012,S,IT,1,1
1001_t0058_s013,S,IP,1,1
1001_t0059_s001,S; TG,,2,0
1001_t0060_s001,S; S-Inform,,2,0
1001_t0060_s002,Q-W; OQ,,2,0
1001_t0061_s001,ANS,,1,0
1001_t0061_s002,S; IAFA; ANS,,3,0
1001_t0061_s003,,,0,0
1001_t0061_s004,S,,1,0
1001_t0061_s005,AGR,,1,0
1001_t0061_s006,Q-W,IP; CB,1,2
1001_t0061_s007,Q-W; Q-RHET; IAFA-OF; ANS; INT,AE; IP,5,2
1001_t0061_s008,ANS,,1,0
1001_t0061_s009,S; HS,AP,2,1
1001_t0061_s010,S; HS,,2,0
1001_t0061_s011,S,UF,1,1
1001_t0061_s012,S,IT; IP,1,2
1001_t0061_s013,S,,1,0
1001_t0061_s014,S,,1,0
1001_t0061_s015,S,IT,1,1
1001_t0061_s016,S,,1,0
1001_t0061_s017,S,,1,0
1001_t0061_s018,S,,1,0
1001_t0061_s019,S,,1,0
1001_t0061_s020,S,,1,0
1001_t0061_s021,S,UF,1,1
1001_t0061_s022,S,,1,0
1001_t0061_s023,,,0,0
1001_t0061_s024,S; CH,ATTR; REB,2,2
1001_t0061_s025,Q-RHET,CB,1,1
1001_t0061_s026,Q-RHET,REB; CB,1,2
1001_t0061_s027,EXPL,AE,1,1
1001_t0061_s028,S; IAFA,IP,2,1
1001_t0061_s029,S; CH,REB,2,1
1001_t0061_s030,S,CB,1,1
1001_t0061_s031,S; HS,,2,0
1001_t0062_s001,TG,,1,0
1001_t0062_s002,,,0,0
1001_t0063_s001,S; CH,IP; REB,2,2
1001_t0063_s002,IAFA; MS,DF,2,1
1001_t0063_s003,YNQ,REB; CB,1,2
1001_t0063_s004,S-Inform; HS,REB; SE,2,2
1001_t0063_s005,Q-W,DF,1,1
1001_t0063_s006,SEEP; S; IAFA,APAT; IT,3,2
1001_t0063_s007,S-Inform,IT,1,1
1001_t0063_s008,S,PB,1,1
1001_t0063_s009,IAFA,,1,0
1001_t0063_s010,S,,1,0
1001_t0063_s011,S,,1,0
1001_t0063_s012,S,IP,1,1
1001_t0063_s013,S,IP,1,1
1001_t0063_s014,S,IP,1,1
1001_t0063_s015,S-Inform; IAFA; ACK,IT,3,1
1001_t0063_s016,S; HS,AF; IT,2,2
1001_t0064_s001,S,,1,0
1001_t0064_s002,S; TG,,2,0
1001_t0065_s001,YNQ,BQ; CB,1,2
1001_t0066_s001,REJ; ANS,,2,0
1001_t0066_s002,S,,1,0
1001_t0066_s003,S; IAFA,IP,2,1
1001_t0066_s004,S,IP,1,1
1001_t0066_s005,S,IT,1,1
1001_t0066_s006,S-Inform,IT; SE,1,2
1001_t0066_s007,S-Inform,IT; SE,1,2
1001_t0066_s008,S; IAFA,IT,2,1
1001_t0066_s009,S-Inform; CH,ATTR; REB; SE,2,3
1001_t0066_s010,S,IP,1,1
1001_t0066_s011,S,IP,1,1
1001_t0066_s012,S,IP,1,1
1001_t0066_s013,S,IP; CB,1,2
1001_t0066_s014,S,,1,0
1001_t0066_s015,S,IP,1,1
1001_t0067_s001,TG,,1,0
1001_t0067_s002,TG,,1,0
1001_t0068_s001,S,,1,0
1001_t0068_s002,S-Inform,CB; SE,1,2
1001_t0068_s003,S,,1,0
1001_t0068_s004,S,SE,1,1
1001_t0068_s005,S; IAFA,IP,2,1
1001_t0068_s006,S,IP,1,1
1001_t0068_s007,S,AE; IP,1,2
1001_t0068_s008,S,IP,1,1
1001_t0068_s009,S,AE; IP,1,2
1001_t0068_s010,S-Inform,SE,1,1
1001_t0068_s011,S,REB,1,1
1001_t0068_s012,S,IP,1,1
1001_t0068_s013,S,IP,1,1
1001_t0068_s014,S,IP,1,1
1001_t0069_s001,TG,,1,0
1001_t0070_s001,ACK; ANS,,2,0
1001_t0070_s002,S,,1,0
1001_t0070_s003,TT; MS,,2,0
1001_t0070_s004,S,,1,0
1001_t0070_s005,S; S-Inform,,2,0
1001_t0070_s006,YNQ,BQ; CBias,1,2
1001_t0071_s001,ANS,IA,1,1
1001_t0071_s002,S; IAFA,,2,0
1001_t0071_s003,S; IAFA,IP,2,1
1001_t0071_s004,S,AE,1,1
1001_t0071_s005,S,IP,1,1
1001_t0071_s006,S,IP,1,1
1001_t0071_s007,S,IP,1,1
1001_t0071_s008,S; IAFA,IP,2,1
1001_t0071_s009,S,AE; SE,1,2
1001_t0071_s010,S; IAFA,AF; AE,2,2
1001_t0071_s011,S,,1,0
1001_t0071_s012,S; IAFA,IP,2,1
1001_t0072_s001,TG,,1,0
1001_t0073_s001,S; REJ; CH,IP; ATTR; REB,3,3
1001_t0073_s002,S,CB,1,1
1001_t0073_s003,S; CH,IP; REB,2,2
1001_t0073_s004,S,UF; IP,1,2
1001_t0073_s005,S; CH,ATTR; REB,2,2
1001_t0074_s001,TT,,1,0
1001_t0075_s001,TT,,1,0
1001_t0075_s002,S; IAFA,IP,2,1
1001_t0075_s003,S,REB,1,1
1001_t0075_s004,S,IP,1,1
1001_t0075_s005,S,IP,1,1
1001_t0076_s001,TG,,1,0
1001_t0077_s001,S,,1,0
1001_t0077_s002,S,IP,1,1
1001_t0077_s003,S,AE,1,1
1001_t0077_s004,S,,1,0
1001_t0077_s005,S-Inform,AF,1,1
1001_t0077_s006,S-Inform,AF; CB,1,2
1001_t0077_s007,Q-W; SEEP; CH,BQ; ATTR; REB,3,3
1001_t0078_s001,S; R-REQ,IA,2,1
1001_t0078_s002,S; EXPL,IP,2,1
1001_t0078_s003,S,,1,0
1001_t0078_s004,S,IP,1,1
1001_t0078_s005,S,IP,1,1
1001_t0078_s006,S; IAFA,,2,0
1001_t0078_s007,S; MS,DF,2,1
1001_t0078_s008,S,,1,0
1001_t0078_s009,S,IT; IP,1,2
1001_t0078_s010,S,IT; IP,1,2
1001_t0078_s011,S,,1,0
1001_t0078_s012,IAFA,AE,1,1
1001_t0078_s013,S,AE,1,1
1001_t0078_s014,S,IP,1,1
1001_t0078_s015,S,IT,1,1
1001_t0078_s016,S,IP,1,1
1001_t0078_s017,S; EXPL,DF; IP,2,2
1001_t0079_s001,TG,,1,0
1001_t0080_s001,S; CH,ATTR; REB,2,2
1001_t0080_s002,S-Inform; CH,ATTR; REB; SE,2,3
1001_t0080_s003,S,IP; REB,1,2
1001_t0080_s004,TT,,1,0
1001_t0080_s005,S; S-Inform,,2,0
1001_t0080_s006,S; S-Inform,,2,0
1001_t0080_s007,S,,1,0
1001_t0080_s008,S,ATTR; REB,1,2
1001_t0080_s009,S,IP,1,1
1001_t0080_s010,S,PER,1,1
1001_t0080_s011,S,IT; IP,1,2
1001_t0080_s012,S; HS,IP,2,1
1001_t0080_s013,S; CH,AE; ATTR; REB,2,3
1001_t0081_s001,TG,,1,0
1001_t0082_s001,S,AF,1,1
1001_t0082_s002,Q-W; OQ,,2,0
1001_t0082_s003,YNQ; OQ,,2,0
1001_t0083_s001,S; MS,IP,2,1
1001_t0083_s002,S,,1,0
1001_t0083_s003,S,AE; UF,1,2
1001_t0083_s004,S,,1,0
1001_t0083_s005,S; CH,IT; IP; REB,2,3
1001_t0083_s006,S,AF; AE,1,2
1001_t0083_s007,S,AE,1,1
1001_t0083_s008,S,,1,0
1001_t0083_s009,S; CH,ATTR; REB; SE,2,3
1001_t0083_s010,S,UF,1,1
1001_t0083_s011,S,UF,1,1
1001_t0083_s012,S,,1,0
1001_t0083_s013,S,,1,0
1001_t0083_s014,S,,1,0
1001_t0083_s015,S,,1,0
1001_t0083_s016,S,IP,1,1
1001_t0084_s001,TG,,1,0
1001_t0084_s002,TG,,1,0
1001_t0085_s001,S; CH,PER; REB,2,2
1001_t0085_s002,S,PB; PER,1,2
1001_t0085_s003,S,PB; CB,1,2
1001_t0085_s004,S-Inform; CH,REB; SE,2,2
1001_t0085_s005,S,REB,1,1
1001_t0085_s006,S; MS,REB,2,1
1001_t0085_s007,S-Inform,AP; SE,1,2
1001_t0085_s008,S; IAFA,IP,2,1
1001_t0085_s009,S-Inform,,1,0
1001_t0085_s010,S,AP,1,1
1001_t0085_s011,S,AP; UF,1,2
1001_t0085_s012,S,UF,1,1
1001_t0085_s013,S,PB,1,1
1001_t0086_s001,MS,,1,0
1001_t0086_s002,S; TG,,2,0
1001_t0087_s001,S,PER; ATTR,1,2
1001_t0087_s002,S,ATTR; REB,1,2
1001_t0087_s003,YNQ,,1,0
1001_t0088_s001,REJ; ANS,REB,2,1
1001_t0088_s002,S; EXPL,REB; CB,2,2
1001_t0088_s003,S,,1,0
1001_t0088_s004,S,,1,0
1001_t0088_s005,S; HS,,2,0
1001_t0088_s006,Q-RHET; HS,,2,0
1001_t0088_s007,S; HS,AP; SE,2,2
1001_t0088_s008,S,IP,1,1
1001_t0088_s009,S,IP; REB,1,2
1001_t0088_s010,S,IP,1,1
1001_t0088_s011,S,IP,1,1
1001_t0088_s012,S,REB,1,1
1001_t0088_s013,S; CH,PER; ATTR; REB,2,3
1001_t0088_s014,S-Inform; CH,ATTR; REB; SE,2,3
1001_t0088_s015,S,PER; ATTR,1,2
1001_t0088_s016,S,ATTR,1,1
1001_t0088_s017,S; HS,ATTR; SE,2,2
1001_t0088_s018,S; CH,AF; ATTR; REB,2,3
1001_t0088_s019,S; MS,IP; REB,2,2
1001_t0088_s020,S,IP; CB,1,2
1001_t0088_s021,S,IT,1,1
1001_t0088_s022,S,IT; IP,1,2
1001_t0088_s023,S; CH,PER; IP; ATTR; REB,2,4
1001_t0088_s024,S,ATTR,1,1
1001_t0088_s025,S; IAFA,IP,2,1
1001_t0088_s026,S,AP,1,1
1001_t0089_s001,MS,,1,0
1001_t0089_s002,MS,,1,0
1001_t0090_s001,S; MS,DF; IP,2,2
1001_t0090_s002,S-Inform; CH,AF; ATTR; REB,2,3
1001_t0090_s003,S; EXPL,IT; SE,2,2
1001_t0090_s004,S-Inform,ATTR; REB,1,2
1001_t0090_s005,S; CH,REB,2,1
1001_t0090_s006,S; HS,,2,0
1001_t0090_s007,S,,1,0
1001_t0090_s008,S,,1,0
1001_t0090_s009,S,,1,0
1001_t0090_s010,S,,1,0
1001_t0090_s011,S,,1,0
1001_t0090_s012,S; IAFA,AF; IT,2,2
1001_t0090_s013,S; IAFA,IT; IP,2,2
1001_t0090_s014,S,,1,0
1001_t0090_s015,S,IT,1,1
1001_t0090_s016,S,IT,1,1
1001_t0090_s017,S; TT,,2,0
1001_t0090_s018,S; HS,IT,2,1
1001_t0090_s019,S,,1,0
1001_t0090_s020,S,,1,0
1001_t0091_s001,S,,1,0
1001_t0091_s002,S,,1,0
1001_t0092_s001,S,,1,0
1001_t0092_s002,S,,1,0
1001_t0092_s003,S; EXPL,APAT,2,1
1001_t0092_s004,S,,1,0
1001_t0093_s001,TT,,1,0
1001_t0093_s002,S; MS,,2,0
1001_t0093_s003,S; TG,,2,0
1001_t0094_s001,TT,,1,0
1001_t0094_s002,S; CH,ATTR; REB,2,2
1001_t0094_s003,YNQ; OQ,CB,2,1
1001_t0095_s001,DIS; ANS,IP; REB,2,2
1001_t0095_s002,S; ANS,,2,0
1001_t0095_s003,S-Inform,,1,0
1001_t0095_s004,S-Inform,,1,0
1001_t0095_s005,S,,1,0
1001_t0095_s006,S,,1,0
1001_t0095_s007,S; IAFA,IP,2,1
1001_t0095_s008,S,IP,1,1
1001_t0095_s009,S,IP,1,1
1001_t0095_s010,S,IP,1,1
