sentence_id,sentence_text
1011_t0031_s002,Let me make sure the seniors hear me loud and clear.
1003_t0003_s008,"And that’s something I want to lead, something we haven’t had over the course of the past many years, even though the Vice President has been at least allegedly in charge of that war."
1019_t0185_s001,"I’ve been involved, as I mentioned to you before, in virtually every major national security challenge we’ve faced in the last 20-some years."
1025_t0265_s024,And I want to make sure that the next generation has those same opportunities.
1023_t0189_s017,How do we get schools to be more competitive?
1007_t0071_s013,He says on the one hand I am for it and on the other hand I may be against it.
1015_t0048_s003,And I honor their sacrifices.
1017_t0127_s002,I don’t know how you draw that line.
1011_t0097_s005,"Almost half of all the tax cut benefits, as I said under Governor Bush’s plan, go to the wealthiest 1%."
1022_t0141_s014,"And that’s his record, and that’s a matter of his record."
1033_t0247_s005,"And he said that, he said it — super predators."
1022_t0127_s006,"The average cost of a health care insurance plan in America today is $5,800."
1018_t0035_s004,It’s important that we do that.
1027_t0150_s009,"In Chicago, they’ve had thousands of shootings, thousands since January 1st."
1031_t0224_s001,"Well, he wants to shut down this country and I want to keep it open, and we did a great thing by shutting it down-"
1010_t0135_s015,"I want to talk about your responsibility, and your responsibility."
1006_t0102_s002,We have elections so people can make decisions about this.
1006_t0102_s008,"If people would say, well, he got elected to do this and then the Congress says, okay, I’m going to do it."
1015_t0042_s021,They’ve always had stakes in it.
1030_t0319_s005,Nobody does it right.
1003_t0050_s012,"And we have serious problems with our conventional forces at the present time, and they’ll get worse unless we have a president who is willing to make some of these decisions."
1010_t0015_s007,You’ve said publicly that it’s now three times the rate of inflation.
1007_t0123_s006,"I think what he should have done is gone before the American people on the front end and said listen, I made a commitment and it was wrong."
1031_t0334_s001,Why didn’t you do it over the last 25 years?
1017_t0009_s008,I vowed to our countrymen that I would do everything I could to protect the American people.
1014_t0004_s001,Mr.
1017_t0101_s019,Fewer water complaints since I’ve been the president.
1011_t0133_s012,"His targeted tax cut is so detailed, so much fine print that it is going to require numerous IRS agents."
1014_t0113_s016,"One, could our family endure all this business."
1031_t0226_s004,We just went through it.
1019_t0128_s013,They’re a member of the axis of evil.
1031_t0155_s003,"As you said, over seven million infected in the United States."
1029_t0226_s020,Bullying is up.
1023_t0167_s018,You obviously studied up on — on my plan.
1008_t0063_s002,"I believe they did the best they could under the circumstances, and let’s not forget that hundreds of thousands of lives were saved there."
1015_t0090_s021,And we’ve got a good strategy.
1013_t0025_s001,I do.
1023_t0174_s007,The Constitution and the Declaration of Independence.
1017_t0009_s016,"So I tried diplomacy, went to the United Nations."
1027_t0146_s022,The Trump International is way under budget and way ahead of schedule.
1033_t0232_s002,"We would say, ‘Come back in two years, three years — we’re going to give you a court case."
1022_t0021_s003,"Now, what I’ve done throughout this campaign is to propose a net spending cut."
1019_t0051_s002,We don’t yet know what our tax revenues are going to be.
1007_t0189_s004,It says we need to do better in terms of stimulating private business.
1008_t0059_s011,"When I took office, Haiti was governed by a dictator that had defied the United States."
1023_t0005_s007,The financial system had frozen up.
1027_t0242_s015,That’s diplomacy.
1018_t0018_s006,"Other senators, other congressmen choose other programs."
1022_t0043_s009,I have fought against spending.
1014_t0027_s026,"The people that work in Washington, D."
1011_t0113_s011,"I went to a school in Dade County, Florida where the facilities are so overcrowded the children have to eat lunch in shifts with the first shift for lunch starting at 9:30 in the morning."
1017_t0083_s012,We now have a $2.
1014_t0019_s018,"Allowing the new bill that was passed in the Congress made sense to allow for, you know, drugs that were sold overseas to come back and other countries to come back into the United States."
1031_t0491_s005,"But we’ve never accomplished it, but we’ve never walked away from it like he has done."
1031_t0758_s001,.
1023_t0049_s006,That’s the largest cut in the discretionary domestic budget since Dwight Eisenhower.
1025_t0222_s011,And that is parents.
1027_t0196_s020,I’ll go one step further.
1015_t0006_s001,"I, too, thank the University of Miami, and say our prayers are with the good people of this state, who’ve suffered a lot."
1029_t0192_s003,And Iran is killing ISIS.
1029_t0276_s023,We have to bring back our workers.
1014_t0113_s031,needs.
1013_t0163_s014,We have to provide leadership.
1010_t0065_s014,"We weren’t guaranteeing anything, anybody anything except the chance to prove they were qualified, the chance to prove that they could do it."
1022_t0116_s014,We should have physical fitness programs and nutrition programs in schools.
1014_t0038_s003,"Now, you’re — and the way it would happen is that under his plan, if a school was designated as failing, the kids would be trapped there for another three years and then some of them would get federal vouchers and the state would be forced to match those, that money."
1013_t0157_s016,"See, you know —"
1031_t0778_s001,I support .
1031_t0826_s002,"You know it can’t, and already, there’s been fraud deception and ."
1006_t0155_s010,I hope they’ll think it’s good that democracy and freedom is on the move.
1001_t0158_s002,"I support the farm bill, the 1985 farm bill and spending is moving in the right direction."
1021_t0033_s006,"I have a clear record of reaching across the aisle, whether it be Joe Lieberman or Russ Feingold or Ted Kennedy or others."
1015_t0098_s008,We can’t sanction them any more.
1014_t0142_s021,4 trillion surplus.
1025_t0050_s001,Governor —
1013_t0157_s014,"So it’s not a question of his heart, as far as I know."
1023_t0014_s015,"Energy is critical, and the president pointed out correctly that production of oil and gas in the U."
1030_t0187_s004,"But I am happy, in fact I’m thrilled to talk about the Clinton Foundation, because it is a world-renowned charity and I am so proud of the work that it does."
1011_t0134_s009,"And as for the surest way to threaten our prosperity, having a $1."
1026_t0139_s008,We then started to build up Afghan forces.
1014_t0023_s003,That adds up to 44 million people.
1017_t0033_s006,Didn’t bring in enough nation.
1033_t0284_s002,And you know what?
1026_t0006_s006,"We were together at a humorous event a little earlier, and it’s nice to maybe funny this time, not on purpose."
1023_t0160_s003,"Your example of the Cleveland Clinic is my case in point, along with several others I could describe."
1031_t0730_s005,.
1001_t0153_s003,But now we’ve got the lines too carefully drawn here.
1033_t0218_s007,It’s criminal.
1008_t0048_s014,Even though I have consistently opposed the legalization of drugs all my public life and worked hard against them.
1019_t0179_s011,"And I actually believe that we need missile defense, because of Iran and North Korea and the potential for them to obtain or to launch nuclear weapons, but I also believe that, when we are only spending a few hundred million dollars on nuclear proliferation, then we’re making a mistake."
1025_t0168_s010,"Now, we’ve got to make sure that we do it in a smart way and a comprehensive way, and we make the legal system better."
1013_t0038_s001,I thought that was a mistake.
1003_t0135_s008,"The point is that as we look at this nation’s future, and we have two very different visions of this future."
1030_t0037_s004,I don’t want to rip families apart.
1017_t0066_s017,You know what he did?
1033_t0184_s007,"Don’t forget, we’ve already approved three plans."
1015_t0030_s003,That’s my job.
1004_t0118_s009,Let me go back a minute to racial divisiveness.
1004_t0127_s003,"I’m the president that stood up and said, don’t mess with Social Security, and I’m not going to and we haven’t and we are not going to go after the Social Security recipient."
1022_t0088_s021,We were not involved.
1004_t0084_s005,Asia will be our largest trading partner in the future.
1026_t0068_s012,"And what I now want to do is to hire more teachers, especially in math and science, because we know that we’ve fallen behind when it comes to math and science."
1027_t0109_s001,… $4 billion tax benefit for your family.
1018_t0089_s019,And that is the result of this president taking his eye off of Osama bin Laden.
1017_t0066_s010,We took care of the safety issues.
1021_t0141_s017,"Iran went from zero centrifuges to develop nuclear weapons to 4,000."
1004_t0111_s002,"I saw the winds of hatred divide people and keep the people of my state poorer than they would have been, spiritually and economically."
1031_t0678_s001,That is not true.
1006_t0126_s013,So it’s that.
1031_t0226_s011,"If you look at Pennsylvania, if you look at certain states that have been shut down, they have Democrat governors, all, one of the reasons they shut down is because they want to keep it shut down until after the election on November 3rd."
1031_t0269_s001,We’ve had no negative effect.
1006_t0238_s022,Those children will all go to college.
1019_t0076_s001,"And I want to tell you that now that we will succeed and our troops will come home, and not in defeat, that we will see a stable ally in the region and a fledgling democracy."
1031_t0777_s001,"Oh, you don’t?"
1006_t0099_s018,"But if those Mom and Pop stores all get together and pool, they too can bring the cost of insurance down."
1019_t0179_s019,"It is important for us to understand that the way we are perceived in the world is going to make a difference, in terms of our capacity to get cooperation and root out terrorism."
1027_t0204_s009,"But we have to be cognizant of the fact that they’ve had foreign fighters coming to volunteer for them, foreign money, foreign weapons, so we have to make this the top priority."
1004_t0045_s006,"Now, if you study our international competitors, some of our international competitors collect up to $3."
1027_t0142_s001,Wrong.
1026_t0123_s010,They’re back away from a nuclear proliferation treaty that we had with them.
1008_t0124_s004,"I don’t know, I’m not questioning anybody."
1033_t0207_s001,"Children are brought here by coyotes and lots of bad people, cartels, and they’re brought here and they used to use them to get into our country."
1010_t0101_s001,"Well, I don’t have any quarrel with that."
1033_t0276_s003,I took care of Black colleges and universities.
1010_t0067_s016,This is America.
1011_t0123_s001,"You know, as governor, one of the things you have to deal with is catastrophe."
1013_t0004_s014,And we have to keep our military strong.
1022_t0155_s005,"Unfortunately, they left the money behind for No Child Left Behind."
1021_t0006_s014,"Do you know that we’ve laid a $10 trillion debt on these young Americans who are here with us tonight, $500 billion of it we owe to China?"
1018_t0069_s012,"Here’s what I’ll do: Number one, the borders are more leaking today than they were before 9/11."
1022_t0167_s006,And they were graphically demonstrated again today.
1010_t0014_s005,"Secondly, we’ve added a million more children to the ranks of the insured through the Medicaid program."
1015_t0077_s009,Under my leadership we’re going to win this war in Iraq.
1011_t0009_s011,It’s a difference between government making decisions for you and you getting more of your money to make decisions for yourself.
1018_t0018_s003,"He said, if it’s good enough for the congressmen and senators to have choice, seniors ought to have choice."
1030_t0078_s001,It’s pretty clear you won’t admit…
1031_t0501_s004,"Because you look back at your testimony over the years, you’ve called them a lot worse than that."
1017_t0112_s017,Less regulations if we want jobs here; legal reform if we want jobs here; and we’ve got to keep taxes low.
1004_t0063_s002,"I’ve already put forward things that’ll get this country working fast, some of which have been echoed here tonight–investment tax allowance, capital gains reduction, more on research and development, tax credit for first-time home buyers."
1027_t0077_s002,"com, and we’ve turned it into a fact-checker."
1008_t0043_s014,"They send it to Congress, and we have to vote it up or down."
1004_t0045_s010,But the people who will be helped the most by it are the working people who will get the jobs created because of this tax.
1004_t0136_s007,Now I’m back to square one.
1029_t0220_s022,"As usual, she talks about it, nothing happens."
1026_t0097_s004,We’re headed down to the low 200s if we go through a sequestration.
1001_t0150_s011,We shouldn’t do that.
1008_t0030_s007,"First of all, it’s a balanced budget amendment to the Constitution which President Clinton defeated."
1023_t0175_s011,But we also believe in maintaining for individuals the right to pursue their dreams and not to have the government substitute itself for the rights of free individuals.
1011_t0026_s001,It’s just clear you can go to the website and look.
1007_t0109_s002,"You know, I’d been in public life a long time and no one had ever questioned my role and so I was asked a lot of questions about things that happened a long time ago and I don’t think I answered them as well as I could have."
1014_t0048_s008,I’m not just talking.
1027_t0113_s009,Those are the kinds of things that will really boost the economy.
1031_t0838_s001,I’ll tell you what it means.
1033_t0087_s010,I have not had it.
1019_t0127_s004,"But I reserve the right, as president of the United States to meet with anybody at a time and place of my choosing if I think it’s going to keep America safe."
1017_t0071_s013,Is it a problem?
1030_t0128_s032,Our jobs are being sucked out of our economy.
1010_t0131_s005,And I can recall cases where people would cross the street rather than meet somebody in a wheelchair.
1015_t0062_s018,” Every life is precious.
1023_t0140_s005,And so the question is: Does anybody out there think that the big problem we had is that there was too much oversight and regulation of Wall Street?
1006_t0033_s001,Wait a minute.
1023_t0070_s004,You’ll never balance the budget by raising taxes.
1018_t0030_s012,"If you’re married, we reduced the marriage penalty."
1023_t0152_s017,"And the fact of the matter is that, when Obamacare is fully implemented, we’re going to be in a position to show that costs are going down."
1007_t0045_s002,"Bush said for a long time there was no recession, and then said it would be better to do nothing than to have a compromise effort with the Congress."
1001_t0056_s012,"I don’t see this, incidentally, as a Democrat or a Republican or a liberal or conservative idea."
1019_t0148_s016,But we have to have a president who is clear that you don’t deal with Russia based on staring into his eyes and seeing his soul.
1004_t0073_s008,We’ve got to make things here.
1017_t0017_s009,That’s the war against terror.
1029_t0163_s002,She has made bad judgment not only on taxes.
1007_t0020_s003,It’s a beautiful state.
1015_t0032_s005,We’ll never succeed in Iraq if the Iraqi citizens do not want to take matters into their own hands to protect themselves.
1010_t0011_s004,You do a lot of things nobody knows about.
1033_t0004_s020,"And I got better and I will tell you that I had something that they gave me — a therapeutic, I guess they would call it."
1008_t0074_s007,The President was opposed to it in 1993.
1018_t0020_s009,I’m going to change that.
1014_t0044_s017,"It requires testing of all new teachers, including in the subjects that they teach."
1001_t0090_s018,"I flew a combat mission, my last one was over Manila."
1025_t0145_s003,"He had a Democrat House, a Democrat Senate, super majority in both Houses."
1027_t0035_s008,"The biggest one, a multinational one known as CAFTA, I voted against."
1026_t0018_s001,Excuse me.
1023_t0015_s007,They are certainly in a better position to weather the extraordinary recession that we went through.
1027_t0206_s009,"But they wouldn’t have even been formed if they left some troops behind, like 10,000 or maybe something more than that."
1023_t0014_s005,But the president mentioned a couple of other ideas I’ll just note.
1017_t0132_s010,That’s a personal opinion.
1026_t0134_s001,"Well, that’s probably true."
1019_t0128_s017,They tested a nuke.
1033_t0245_s008,And don’t reach for the glove box because someone may shoot you.
1026_t0163_s003,"And the idea that has been suggested that I would liquidate the industry, of course not."
1025_t0150_s017,"What I was saying is, we’re not going to round up 12 million people, undocumented illegals, and take them out of the nation."
1006_t0244_s009,Our schools are now better.
1031_t0155_s012,He knew all the way back in February how serious this crisis was.
1027_t0160_s018,We need to have more second chance programs.
1010_t0045_s011,This is America.
1003_t0150_s002,I will not agree to another debate.
1029_t0204_s007,I’ve been reading now…
1015_t0098_s002,That’s exactly what Kim Jong Il wants.
1030_t0202_s011,And you take a look at the people of Haiti.
1019_t0184_s006,He is not captured.
1003_t0050_s003,"I don’t rule out modernization, and there are discussions going on now in the Congress, I know with the Pentagon, about a less expensive modernized land-based leg of the triad."
1021_t0057_s013,It’s going to be a little tougher because we’re talking about very complex and difficult issues.
1004_t0063_s003,"What I’m going to do is say to Jim Baker when this campaign is over, all right, let’s sit down now, you do in domestic affairs what you’ve done in foreign affairs, be kind of the economic coordinator of all the domestic side of the House, and that includes all the economic side, all the training side, and bring this program together."
1008_t0132_s021,"If I couldn’t cut taxes and balance the budget the same time, I wouldn’t look at you in the eye in your living room or wherever you might be and say that this is good for America."
1027_t0065_s003,” You can pick it up tomorrow at a bookstore…
1031_t0291_s002,"The fact is that he has in fact, worked on this in a way that he’s going to be the first president of the United States to leave office, having fewer jobs in his administration than when he became president."
1017_t0033_s005,The president did not do what was necessary.
1004_t0068_s011,I am going to protect the American taxpayer against the spend and tax Congress.
1017_t0083_s001,Let me begin by saying that my health-care plan is not what the president described.
1019_t0134_s002,"Nobody’s been talking about that, and Senator McCain knows it."
1001_t0145_s003,Mr.
1014_t0019_s003,"And therefore, when they have to try to purchase drugs they do so on their own, there’s no kind of collective bargaining, no power of purchasing among seniors."
1006_t0008_s011,"Number three, stop the federal government’s program that now gives low-interest loans and job training funds to companies that will actually shut down and move to other countries, but we won’t do the same thing for plants that stay here."
1021_t0039_s003,We are Americans.
1030_t0006_s014,"They are great scholars in all cases, and they’re people of tremendous respect."
1008_t0065_s003,Now I think we have a selective engagement policy.
1033_t0303_s003,And we’re told by all the leading scientists in the world we don’t have much time.
1001_t0016_s002,"And let me lay out for you my own strategy for bring that deficit down, because as a chief executive that’s balanced ten budgets in a row, I’ve had to make those tough decisions and those tough choices."
1004_t0047_s009,"9 Nobel Prize-winning economists and 500 others, including numerous Republican and Democratic business executives, have endorsed this approach because it offers the best hope to put America back to work and get our incomes rising instead of falling."
1031_t0503_s008,They have to be held accountable.
1029_t0140_s003,"In some cases, they’re murderers, drug lords, drug problems."
1006_t0240_s001,— that ain’t bad.
1001_t0140_s014,Do you know who J.
1025_t0029_s002,That’s the problem.
1003_t0171_s017,"We love you, and we’re grateful to you for everything that you’ve given to us."
1019_t0124_s015,Now here’s what we need to do.
1025_t0029_s001,But that’s not what you’ve done in the last four years.
1033_t0276_s006,"I mean, they can say anything."
1008_t0059_s017,We’ve also stood up to the new threats of terrorism.
1030_t0012_s002,"But there’s no doubt that I respect the Second Amendment, that I also believe there’s an individual right to bear arms."
1026_t0067_s017,"Latin America is a huge opportunity for us — time zone, language opportunities."
1014_t0055_s004,"And he ought to be proud of it, it’s part of his record."
1011_t0050_s011,"And Governor Bush has declared to the anti-choice groups that he will appoint justices in the mold of Scalia and Clarence Thomas, who are known for being the most vigorous opponents of a woman’s right to choose."
1026_t0199_s004,"Over the last four years we’ve made real progress digging our way out of policies that gave us two prolonged wars, record deficits and the worst economic crisis since the Great Depression."
1029_t0264_s002,"Well, you’re right."
1007_t0103_s007,"That’s kind of pathetic I have to do it — and nobody’s called me yet to come up, I might mention."
1013_t0075_s002,"I certainly don’t disagree that we ought to get our troops home from places like the Balkans as soon as we can, as soon as the mission is complete."
1027_t0125_s002,"For 40 years, everyone running for president has released their tax returns."
1025_t0245_s041,My priority is making sure that we get more people hired.
1018_t0053_s014,"Once a health-care program ends up in a line item in the federal government budget, it leads to more controls."
1033_t0020_s013,And you catch it.
1030_t0236_s006,"The New York Times actually wrote an article about it, but they don’t even care."
1004_t0042_s016,Mr.
1017_t0105_s003,But I thought it would cost a lot — I think there’s a better way to do it.
1011_t0048_s020,I hope the FDA took its time to make sure that American women will be safe who use this drug.
1003_t0072_s001,That’s not bad.
1031_t0090_s001,I beat him by a whole hell of a lot.
1022_t0152_s005,And we find bad teachers another line of work.
1007_t0153_s002,"They’re not correct and if you look at my life, until I got involved in this effort, I was one person."
1031_t0176_s003,Just a mask.
1022_t0136_s001,I would consider anyone in their qualifications.
1025_t0132_s015,"You might say, “Well, you got an example of one that worked better?"
1031_t0191_s002,That was said sarcastically.
1004_t0138_s019,"Every 4 years, they send you all kinds of messages to tell you how to vote and then go back to business as usual."
1018_t0081_s002,.
1027_t0166_s004,"These are very, very good people, and they’re protecting the Second Amendment."
1017_t0092_s007,And of course he’s going to raise your taxes.
1018_t0063_s003,"This is the same thing we heard — remember, I appeared on “Meet the Press” with Tim Russert in 1990-something."
1013_t0070_s019,But it was also military.
1015_t0029_s002,"We just read on the front pages of America’s papers that there are over 100,000 hours of tapes, unlistened to."
1022_t0026_s001,"Well, thank you, Bob."
1025_t0104_s006,"My chief of staff, for instance, had two kids that were still in school."
1010_t0080_s003,It covers the majority of the work force.
1031_t0551_s002,.
1029_t0142_s005,And I was making the point that it is hard sometimes to get the Congress to do what you want to do and you have to keep working at it.
1027_t0263_s010,There’s no doubt that we have other problems with Iran.
1006_t0011_s007,Mr.
1013_t0033_s010,In some of the discussions we’ve had about when it’s appropriate for the U.
1031_t0541_s001,"Law and order with justice, where people get treated fairly."
1030_t0328_s001,Such a nasty woman.
1031_t0842_s001,They’re not equipped.
1023_t0089_s005,So the way for us to deal with Medicare in particular is to lower health care costs.
1030_t0059_s002,And this used to be a bipartisan issue.
1010_t0062_s008,"Now all you got that tax cut, congratulations."
1017_t0006_s018,It’s — you’ve got to be consistent when you’re the president.
1019_t0004_s007,I also want to thank the University of Mississippi for hosting us tonight.
1023_t0206_s013,And it’s not just looking to our words that you have to take in evidence of where they go.
1027_t0133_s024,I have a great company.
1023_t0102_s002,And the president supports taking $716 billion out of that program.
1029_t0232_s003,"And what he has said about African-Americans and Latinos, about Muslims, about POWs, about immigrants, about people with disabilities, he’s never apologized for."
1033_t0353_s002,I represent all of you whether you voted for me or against me.
1004_t0127_s005,Perot on that because I don’t think we need to touch Social Security.
1013_t0112_s008,And that’s what’s gonna happen in the State of Texas.
1030_t0335_s020,"We are going to make America strong again, and we are going to make America great again, and it has to start now."
1030_t0065_s004,I think that would be a great benefit to us.
1033_t0099_s016,"You play by them or you’re going to pay the price for not playing by them, economically."
1029_t0117_s008,They’ll never be the same.
1027_t0133_s007,"And believe me, this country thinks it’s—really thinks it’s disgraceful, also."
1033_t0116_s007,"We were not going to have a steel industry, and now we have a steel industry."
1008_t0088_s004,I’ve supported the President when I thought he was right on Bosnia.
1011_t0139_s019,"I think it should stay in a lockbox, and I’ll tell you this."
1031_t0766_s001,"The final question is, I can’t remember which of all his rantings was the final question."
1017_t0029_s021,He didn’t.
1031_t0622_s002,"But I’ll tell you what, I’ll tell you what: somebody’s got to do something about Antifa and the left because this is not a right wing problem this is a left-wing."
1019_t0066_s001,The problem with a spending freeze is you’re using a hatchet where you need a scalpel.
1021_t0073_s008,So here’s what I would do.
1026_t0076_s004,"While I was governor, I was proud that our fourth graders came out number one of all 50 states in English, and then also in math."
1015_t0023_s001,"Yes, we have to be steadfast and resolved, and I am."
1013_t0095_s006,A jury found them guilty.
1022_t0157_s018,I think the Head Start program is a great program.
1026_t0046_s014,"But we did so in a careful, thoughtful way, making certain that we knew who we were dealing with, that those forces of moderation on the ground were ones that we could work with, and we have to take the same kind of steady, thoughtful leadership when it comes to Syria."
1006_t0033_s004,I’m not interested in his character.
1033_t0128_s011,Because he’s not going to do that.
1015_t0079_s019,Libya was a threat.
1013_t0002_s011,"I haven’t started naming names except for one person, and that’s Mr."
1011_t0113_s015,90% of our kids go to public schools.
1015_t0006_s009,Ten million people have registered to vote in Afghanistan in the upcoming presidential election.
1021_t0046_s010,"I’ve got some news, Senator Obama, the news is bad."
1031_t0498_s001,"You did a crime bill, 1994, where you called them super-predators."
1008_t0081_s018,"The bottom line is, we went in there alone."
1007_t0057_s015,But it is good for America to improve fuel efficiency.
1031_t0295_s001,I have to respond to that.
1029_t0142_s006,"And, yes, President Lincoln was trying to convince some people, he used some arguments, convincing other people, he used other arguments."
1033_t0083_s002,Show us.
1033_t0012_s001,"No, I think my timeline is going to be more accurate."
1003_t0157_s002,And the reason we’ve gotten it is because they see us now as unwilling to make the very kinds of unilateral cuts that have been called for and to go for the discredited freeze.
1014_t0131_s010,You’re stuck in a time warp in many ways.
1022_t0169_s012,In policies that will lift wages and will grow our middle class.
1027_t0252_s001,"It’s a good one, though."
1026_t0146_s004,You look at the record of the last four years and say is Iran closer to a bomb?
1021_t0073_s003,I can’t tell you how many people I meet who don’t have health insurance.
1021_t0046_s003,But he wants to raise taxes.
1023_t0141_s006,It wasn’t thought through properly.
1033_t0020_s019,9 of young people recover.
1018_t0022_s002,He been a senator for 20 years.
1004_t0095_s014,"So with all the talk about family values, I know about family values — I wouldn’t be here without them."
1027_t0152_s005,They would have won an appeal.
1033_t0217_s001,"Who built the cages, Joe?"
1003_t0040_s008,And I’m not the one that compared the President of the United States rotting from like a dead fish from the head down.
1015_t0034_s017,We didn’t guard the borders.
1019_t0002_s016,"Now, we also have to recognize that this is a final verdict on eight years of failed economic policies promoted by George Bush, supported by Senator McCain, a theory that basically says that we can shred regulations and consumer protections and give more and more to the most, and somehow prosperity will trickle down."
1017_t0090_s005,I am not going to raise taxes.
1015_t0138_s018,"I believe America’s best days are ahead of us because I believe that the future belongs to freedom, not to fear."
1001_t0103_s004,"Yes, I think it’s fine to do business with them."
1029_t0027_s009,Because we’ve seen this throughout the campaign.
1001_t0095_s009,I’m simply not going to do that.
1006_t0045_s009,Standing up against aggression.
1033_t0032_s005,She was dancing on the streets in Chinatown in San Francisco.
1026_t0201_s005,I’m excited about our prospects as a nation.
1004_t0140_s003,And I’d like to thank those of you who are watching.
1011_t0163_s009,A spirit of cooperation.
1033_t0338_s001,We actually do give it to solar and wind–
1025_t0146_s030,” That’s not true.
1013_t0197_s009,"And I remember you gave a very good answer to New Hampshire about the White Mountains, about how it was important to keep that collaborative effort in place."
1029_t0052_s009,"When I was on the Senate Armed Services Committee, I was privy to a lot of classified material."
1031_t0552_s002,.
1008_t0061_s017,"We agreed to train and arm the Muslims so they could defend themselves, the policy you had when you ran in 1992."
1006_t0013_s016,Some sophisticates think it may be a little gimmicky.
1004_t0138_s027,And I can’t tell you what it means to me at these rallies when I see you and you come up and the look in your eyes — and I know how you feel and you know how I feel.
1008_t0104_s013,"Now, it would have."
1015_t0070_s015,And our goal in my administration would be to get all of the troops out of there with a minimal amount you need for training and logistics as we do in some other countries in the world after a war to be able to sustain the peace.
1019_t0133_s009,"By the way, North Korea, most repressive and brutal regime probably on Earth."
1033_t0286_s009,They should be going into treatment.
1023_t0151_s008,"They put out a plan, a bipartisan plan."
1013_t0230_s012,I worry about morale in today’s military.
1022_t0130_s006,And don’t take my word for it.
1027_t0242_s014,"And my successor, John Kerry, and President Obama got a deal that put a lid on Iran’s nuclear program without firing a single shot."
1014_t0150_s001,"Well, Jim, I want to thank you and thank the folks here at Washington University and the vice president."
1004_t0142_s030,I hope I’ve earned your trust because a lot of being president is about trust and character.
1029_t0021_s002,"And I will tell you: No, I have not."
1017_t0081_s001,"Right, thank you for that."
1023_t0198_s004,I’ll do it again.
1019_t0164_s001,I — I just have to correct the record here.
1022_t0125_s015,"Here’s the problem — that for about 20 million people, you may find yourselves no longer having employer-based health insurance."
1013_t0081_s017,It means having intelligent decisions that keep our prosperity going and shepherds that economic strength so that we can provide that leadership role.
1010_t0014_s001,I will.
1025_t0007_s009,I know what it takes to get this economy going.
