sentence_id,reasoning,damsl_tags,beads_tags,n_damsl_tags,n_beads_tags
1031_t0155_s003,Cites factual statistic of infections referencing prior statement.,S-Inform; HS,,2,0
1029_t0226_s020,Short factual-sounding assertion; a claim without support.,S,,1,0
1023_t0167_s018,"Directed at opponent noting they studied the plan, a slight jab.",S,REB,1,1
1008_t0063_s002,"Expresses personal belief and includes a phrase 'let's not forget' plus a favorable claim, defending with selective positive framing.",S; EXPL,DF; IP; SE,2,3
1015_t0090_s021,"Declarative asserting a positive evaluation of own strategy, mild self-promotion.",S,IT,1,1
1013_t0025_s001,"Short affirmative reply, functioning as a direct answer.",ANS,,1,0
1023_t0174_s007,A fragment naming founding documents; patriotic reference.,S,APAT,1,1
1017_t0009_s016,"Declarative recounting own actions, self-crediting.",S,IT,1,1
1027_t0146_s022,Factual-sounding boast about own project.,S; S-Inform,IT,2,1
1033_t0232_s002,Describes a policy scenario with reported speech; informative with years.,S; S-Inform,,2,0
1022_t0021_s003,"Statement describing own campaign proposal, self-promotion of policy.",S,IT,1,1
1019_t0051_s002,Plain declarative about uncertainty of revenues.,S,,1,0
1007_t0189_s004,Statement expressing what ought to be done to stimulate business; hortatory not imperative.,S,,1,0
1008_t0059_s011,Historical reference to taking office and Haiti under a dictator.,S; HS,,2,0
1023_t0005_s007,A plain declarative describing a past economic state.,S,,1,0
1027_t0242_s015,Short declarative characterizing something as diplomacy.,S,,1,0
1018_t0018_s006,Neutral declarative statement about others' choices.,S,,1,0
1022_t0043_s009,Claims personal credit for fighting spending.,S,IT,1,1
1014_t0027_s026,Fragment referencing Washington workers; incomplete statement.,S,,1,0
1011_t0113_s011,An anecdote with vivid detail (times) used to appeal emotionally about overcrowded schools and children.,S; S-Inform,AE,2,1
1017_t0083_s012,"Cites a dollar figure, factual informative statement (truncated).",S; S-Inform,,2,0
1014_t0019_s018,Declarative describing legislation about drug importation.,S,,1,0
1031_t0491_s005,"Contrasts 'we' with opponent ('he has done'), a rebuttal blaming the opponent for walking away.",S; CH,ATTR; REB,2,2
1031_t0758_s001,Empty/punctuation-only fragment with no content.,,,0,0
1023_t0049_s006,Declarative citing a factual claim about budget cuts with a historical reference to Eisenhower; presents one favorable comparison.,S-Inform; HS,IT; SE,2,2
1025_t0222_s011,"Short declarative identifying a subject, likely completing a prior thought.",S,,1,0
1027_t0196_s020,"Statement signaling the speaker will add more, holding the floor.",S; TT,,2,0
1015_t0006_s001,"Expresses thanks and offers prayers/sympathy, with emotional appeal to suffering people.",S; THK,AE,2,1
1029_t0192_s003,Factual assertion about Iran; presents a one-sided claim.,S-Inform,SE,1,1
1029_t0276_s023,"Hortatory declarative about what must be done, framed as collective action.",S,UF,1,1
1014_t0113_s031,Sentence fragment; not enough to assign an act meaningfully beyond a statement remnant.,S,,1,0
1013_t0163_s014,"Hortatory declarative about providing leadership, collective framing.",S,UF,1,1
1010_t0065_s014,Declarative explaining/clarifying a prior point about what was being guaranteed.,S; EXPL,,2,0
1022_t0116_s014,"Declarative expressing what should happen with programs; hortatory statement, not an imperative.",S,IP,1,1
1014_t0038_s003,"Speaker describes opponent's plan in negative terms ('kids would be trapped', 'forced'), a rebuttal characterizing the opponent's proposal.",S; CH,ATTR; REB,2,2
1013_t0157_s016,"Fragment/floor-holding filler, incomplete.",TT,,1,0
1031_t0778_s001,Short statement of personal stance/support.,S,IP,1,1
1031_t0826_s002,"Asserts fraud and deception, a loaded claim implying wrongdoing.",S,AF,1,1
1006_t0155_s010,"Expresses hope/opinion, with patriotic framing of democracy and freedom.",S,APAT; IP,1,2
1001_t0158_s002,Declarative stating support with factual reference to specific bill and year.,S; S-Inform,IP,2,1
1021_t0033_s006,"Self-promotion claiming a record of bipartisanship, naming supporters.",S,IT,1,1
1015_t0098_s008,Plain declarative asserting a limit on action.,S,,1,0
1014_t0142_s021,"Fragment citing a dollar figure, factual number.",S-Inform,,1,0
1025_t0050_s001,"Address/vocative to the Governor, floor-taking bid.",TT,,1,0
1013_t0157_s014,Speaker makes a declarative assertion framed as personal opinion about someone's motives.,S,IP,1,1
1023_t0014_s015,Statement conceding a factual point the president made about energy production; agreement plus informative content.,S; AGR,,2,0
1030_t0187_s004,"Declarative statement expressing personal pride and defending the foundation, framed emotionally/self-promotionally.",S,IT; IP,1,2
1011_t0134_s009,"Fragment warning that a large deficit threatens prosperity, invoking fear of economic harm.",S,AF,1,1
1026_t0139_s008,Plain factual narrative statement about building up Afghan forces.,S,,1,0
1014_t0023_s003,Statement citing a specific figure of 44 million people.,S; S-Inform,,2,0
1017_t0033_s006,Fragment criticizing an approach as insufficient; declarative critique.,S,,1,0
1033_t0284_s002,"Rhetorical question used to grab attention, not seeking an answer.",Q-RHET; TT,,2,0
1026_t0006_s006,Light personal anecdote about being together at an event; conversational statement.,S,,1,0
1023_t0160_s003,"Statement using a specific example to support the speaker's argument, citing one supporting case.",S,SE,1,1
1031_t0730_s005,Just a period; no content.,S,,1,0
1001_t0153_s003,Declarative assertion about drawn lines; expresses a stance on framing.,S,IP,1,1
1033_t0218_s007,Emphatic assertion labeling something criminal; loaded evaluative charge.,S,CB,1,1
1008_t0048_s014,Statement about self's consistent record; self-promotion of stance.,S,IT,1,1
1019_t0179_s011,"Long declarative with personal belief and factual dollar reference, plus mention of threats from Iran/North Korea.",S; S-Inform,AF; IP,2,2
1025_t0168_s010,"Hortatory 'we've got to' statement, not imperative; collective action framing.",S,UF,1,1
1013_t0038_s001,Personal opinion asserting something was a mistake.,S,IP,1,1
1003_t0135_s008,Statement setting up contrast between two visions.,S,IP,1,1
1030_t0037_s004,Personal stance statement with emotional family framing.,S,AE; IP,1,2
1017_t0066_s017,"Wh-question directed at opponent's action, rhetorical jab setting up attack.",Q-W; Q-RHET,REB,2,1
1033_t0184_s007,"An imperative-style directive urging the audience to remember, combined with self-promotion citing accomplishment.",S; IAFA,IT,2,1
1015_t0030_s003,A plain declarative statement about one's role.,S,,1,0
1004_t0118_s009,Speaker bids to steer the topic back to racial divisiveness with a floor-taking move.,TT; MS,RB,2,1
1004_t0127_s003,"Speaker claims personal credit for protecting Social Security, self-promotion.",S,IT,1,1
1022_t0088_s021,A plain denial/statement of non-involvement.,S,,1,0
1004_t0084_s005,A predictive factual statement about trade.,S; S-Inform,,2,0
1026_t0068_s012,Statement of policy intent with an explanation clause about falling behind.,S; EXPL,IP,2,1
1027_t0109_s001,"Fragment citing a dollar figure, an informative statement.",S-Inform,,1,0
1018_t0089_s019,Statement attributing blame to the president for a failure regarding bin Laden.,S; CH,ATTR; REB,2,2
1017_t0066_s010,"Claims credit for addressing safety issues, self-promotion.",S,IT,1,1
1021_t0141_s017,Declarative citing specific numbers about Iran's centrifuges; factual claim likely selectively framed to blame policy.,S-Inform,SE,1,1
1004_t0111_s002,Personal narrative describing emotional harm; emotional appeal.,S; HS,AE,2,1
1031_t0678_s001,Flat denial of a claim aimed at opponent's statement.,REJ; CH,REB,2,1
1006_t0126_s013,Vague closing statement with no bias.,S,,1,0
1031_t0226_s011,Conditional statement attributing shutdown motives negatively to Democrat governors; political outgroup framing and blame.,S,PB; ATTR; CB,1,3
1031_t0269_s001,"Assertion claiming no negative effect, one-sided.",S,SE,1,1
1006_t0238_s022,"Optimistic prediction about children, emotional appeal.",S,AE,1,1
1019_t0076_s001,Promise of success and stable ally; patriotic/pride framing with 'not in defeat.',S,AP; IP,1,2
1031_t0777_s001,Short incredulous question challenging opponent's claim.,YNQ; CH,REB,2,1
1006_t0099_s018,"Conditional statement about pooling to reduce insurance costs; policy claim, no clear bias.",S,,1,0
1019_t0179_s019,"A declarative asserting a viewpoint about foreign perception and cooperation, framed as belief.",S,IP,1,1
1027_t0204_s009,Declarative citing facts about foreign fighters/money and urging priority; hortatory 'we have to' is a statement not imperative.,S; S-Inform,AF,2,1
1004_t0045_s006,Statement introducing a factual/numeric comparison about competitors' collection figures.,S; S-Inform,,2,0
1027_t0142_s001,A flat one-word rejection of an opponent's claim.,REJ; CH,REB,2,1
1026_t0123_s010,"Declarative asserting a claim about backing away from a nuclear treaty, referencing an adversary's action.",S; S-Inform,,2,0
1008_t0124_s004,"Speaker clarifies/qualifies own position, not questioning anyone.",S; CORR,,2,0
1033_t0207_s001,Declarative asserting claims about children brought by coyotes/cartels using loaded fear language.,S,AF,1,1
1010_t0101_s001,"Expresses no disagreement, effectively agreeing with a prior point.",AGR,,1,0
1033_t0276_s003,Speaker claims personal credit for taking care of Black colleges.,S,IT; RB,1,2
1010_t0067_s016,Short emphatic patriotic assertion about national identity.,S,AP; APAT,1,2
1011_t0123_s001,A declarative statement about the role of a governor dealing with catastrophe; not seeking an answer despite 'you know'.,S,,1,0
1013_t0004_s014,Hortatory declarative expressing what ought to happen; collective 'we' framing on national defense.,S,UF,1,1
1022_t0155_s005,Statement blaming 'they' for underfunding No Child Left Behind; loaded framing assigns blame.,S; CH,ATTR; REB,2,2
1021_t0006_s014,"Opens with auxiliary 'do' and cites specific debt figures, framed as a loaded rhetorical question with fiscal alarm.",YNQ; S-Inform,AF; CB,2,2
1018_t0069_s012,"Announces intended action then gives a factual/alarmist claim about borders leaking, evoking fear.",S; S-Inform,AF,2,1
1022_t0167_s006,Plain declarative referencing a demonstration today; vague reference.,S,,1,0
1010_t0014_s005,"Statement citing a specific number (a million children) as an achievement, taking credit.",S; S-Inform,IT,2,1
1015_t0077_s009,Declarative promising victory under 'my leadership'; self-promotional and appeals to national resolve.,S,IT,1,1
1011_t0009_s011,Statement framing a contrast between government and individual choice; a false-dilemma style framing.,S,CB,1,1
1018_t0018_s003,Reports another's statement (quotation) about seniors deserving choice; declarative.,S,ATTR,1,1
1030_t0078_s001,"Incomplete statement asserting the opponent won't admit something, referencing them adversarially.",S; CH,PER; REB,2,2
1031_t0501_s004,Statement giving reasoning that references the opponent's past testimony to challenge them.,S; EXPL; CH,REB,3,1
1017_t0112_s017,"Declarative policy statement with hortatory 'we've got to' framing, not an imperative.",S,,1,0
1004_t0063_s002,Self-promoting statement listing policy proposals with specific factual content.,S; S-Inform,IT,2,1
1027_t0077_s002,Neutral procedural/factual statement about a fact-checker tool.,S,,1,0
1008_t0043_s014,Neutral factual statement describing legislative procedure.,S,,1,0
1004_t0045_s010,"Statement asserting benefit to working people, framing a policy positively.",S,AE,1,1
1004_t0136_s007,Statement noting a return to starting point; conversational.,S,,1,0
1029_t0220_s022,Statement attacking opponent's ineffectiveness with 'as usual' emphatic jab.,S; CH,PER; ATTR; AEX,2,3
1026_t0097_s004,Statement with numeric content warning of consequences of sequestration.,S; S-Inform,AF,2,1
1001_t0150_s011,A declarative expressing what ought not happen; not imperative.,S,,1,0
1008_t0030_s007,"Informative statement citing a policy fact, but assigns blame to Clinton for defeating it.",S-Inform; HS,ATTR,2,1
1023_t0175_s011,Statement of belief/stance framing values; expresses personal/collective stance.,S,APAT; IP,1,2
1011_t0026_s001,Statement pointing to evidence source; mild.,S,,1,0
1007_t0109_s002,"Self-reflective personal narrative, a statement admitting shortcoming.",S,IP,1,1
1014_t0048_s008,Emphatic statement asserting seriousness of own position.,S,IP,1,1
1027_t0113_s009,Statement claiming policy benefits.,S,IP,1,1
1031_t0838_s001,Bids to explain/hold the floor.,S; TT,,2,0
1033_t0087_s010,Direct denial/answer about a fact.,S; ANS,,2,0
1019_t0127_s004,Statement asserting presidential prerogative with personal stance and safety framing.,S,IP,1,1
1017_t0071_s013,A short yes-no question asking whether something is a problem.,YNQ,,1,0
1030_t0128_s032,Declarative asserting economic harm with fear-tinged framing of loss.,S,AF,1,1
1010_t0131_s005,"Personal recollection giving an anecdotal example, emotionally evocative.",S; HS,AE,2,1
1015_t0062_s018,Value assertion with emotional appeal about life.,S,AE,1,1
1023_t0140_s005,"A rhetorical question framed to make the answer obvious about Wall Street oversight, loaded framing.",YNQ; Q-RHET,CB,2,1
1006_t0033_s001,An interruption bidding to stop the other and take the floor.,TT; INT,,2,0
1023_t0070_s004,"Absolute declarative claim about tax policy, a sweeping generalization rebutting opponent's approach.",S; CH,REB; CB,2,2
1018_t0030_s012,Statement taking credit for a policy achievement.,S,IT,1,1
1023_t0152_s017,"Statement predicting policy outcome, framed as fact defending Obamacare.",S,,1,0
1007_t0045_s002,"Attributes past statements/inaction to Bush, blaming him.",S; CH,ATTR; REB,2,2
1001_t0056_s012,"Speaker frames an idea as non-partisan, a personal stance seeking to unify across party lines.",S; IAFA-OF,UF; IP,2,2
1019_t0148_s016,"Declarative asserting what kind of president is needed, with veiled critique of naive Russia policy; expresses personal stance.",S,IP; REB,1,2
1004_t0073_s008,"Hortatory 'we've got to' — a statement urging shared action, not a bare imperative.",S,UF,1,1
1017_t0017_s009,Plain declarative identifying something.,S,,1,0
1029_t0163_s002,"Attacks opponent's judgment by name/reference, a blame attribution and personal critique.",S; CH,PER; ATTR; REB,2,3
1007_t0020_s003,Simple complimentary declarative.,S,,1,0
1015_t0032_s005,Conditional declarative asserting a policy claim about Iraq.,S,CB,1,1
1010_t0011_s004,Declarative praising the listener's actions.,S,,1,0
1033_t0004_s020,"Personal narrative statement about a treatment, self-referential.",S,IP,1,1
1008_t0074_s007,"Factual claim about opponent's past position with a year, both informative and a rebuttal referencing opponent.",S-Inform; CH; HS,ATTR; REB,3,2
1018_t0020_s009,Speaker asserts a future intention to change something; plain declarative with a self-promotional promise.,S,IT,1,1
1014_t0044_s017,Declarative describing what a policy requires; factual/informative content about testing.,S; S-Inform,,2,0
1001_t0090_s018,Personal autobiographical claim referencing a past event; self-reference with self-promotional biographical detail.,S; HS,IT,2,1
1025_t0145_s003,"Statement about an opponent's political circumstances, framing him negatively for having majorities; references outgroup.",S; S-Inform,ATTR,2,1
1027_t0035_s008,"Factual statement about own voting record, self-referential credit-claiming.",S; S-Inform,IT,2,1
1026_t0018_s001,"Bid to take/hold the floor, often an interruption.",TT,,1,0
1023_t0015_s007,"Declarative assertion evaluating an economic position, referencing recession.",S,,1,0
1027_t0206_s009,"Counterfactual argument rebutting a prior point with a hypothetical, includes numbers; references opponent's claim.",S; EXPL,REB; CB,2,2
1023_t0014_s005,Speaker notes he will address the president's ideas; turn-holding steering while referencing opponent.,S; MS,REB,2,1
1017_t0132_s010,"Characterizes something as personal opinion, dismissing/framing the prior claim's status.",S,REB,1,1
1026_t0134_s001,A concessive declarative agreeing with a prior point.,AGR,,1,0
1019_t0128_s017,Plain factual assertion about an event.,S; S-Inform,,2,0
1033_t0245_s008,Imperative warning ('don't reach') combined with a threatening image of being shot.,IAFA,AF,1,1
1026_t0163_s003,"Rejects a claim attributed to him about liquidating the industry, a rebuttal against the opponent's framing.",REJ; CH,REB,2,1
1025_t0150_s017,Clarifies his own prior statement about what he meant.,S; CORR,,2,0
1006_t0244_s009,"Positive claim about schools improving, likely self-credit.",S,IT,1,1
1031_t0155_s012,Statement attributing prior knowledge to opponent implying blame for the crisis.,S; CH,ATTR; REB,2,2
1027_t0160_s018,"Hortatory declarative ('we need to') expressing what ought to happen, not a bare imperative.",S,IP,1,1
1010_t0045_s011,Short patriotic-toned declarative invoking national identity.,S,AP,1,1
1003_t0150_s002,Declares refusal to participate in another debate.,S; REJ,,2,0
1029_t0204_s007,An incomplete personal statement about reading; declarative and self-referential.,S,,1,0
1015_t0098_s002,"Declarative asserting an opponent/adversary (Kim Jong Il) benefits from a policy, functioning as a challenge/rebuttal with fear framing.",S; CH,AF; REB,2,2
1030_t0202_s011,"Grammatically imperative directing listener to consider Haiti's people, an emotional appeal.",IAFA,AE,1,1
1019_t0184_s006,"Plain factual assertion (bin Laden not captured), used as a rebuttal against opponent's claim.",S; CH,REB,2,1
1003_t0050_s003,Informative statement citing ongoing discussions and specifics; expresses stance without attacking.,S; S-Inform,IP,2,1
1021_t0057_s013,Statement giving reasoning about difficulty of issues; explanatory.,S; EXPL,,2,0
1004_t0063_s003,Long declarative describing personal future plan; self-referential stance/self-promotion of intended action.,S,IP,1,1
1008_t0132_s021,"Conditional statement addressed to voters, personal credibility framing with emotional/direct appeal.",S,AE; IP,1,2
1027_t0065_s003,Statement directing attention to a book available at a bookstore; informative/procedural.,S,,1,0
1031_t0291_s002,"Assertion blaming opponent for job losses under his administration, a rebuttal attributing blame with a selective statistic.",S; CH,ATTR; REB; SE,2,3
1017_t0033_s005,"Declarative asserting the president failed to act, blaming a named opponent.",S; CH,ATTR; REB,2,2
1004_t0068_s011,Speaker states future action and negatively frames the political outgroup ('spend and tax Congress').,S,PB; IP,1,2
1017_t0083_s001,Turn-taking bid followed by correcting the opponent's characterization of the plan.,S; CH; TT,REB,3,1
1019_t0134_s002,"Asserts opponent knows the truth, implying dishonesty; adversarial jab at named opponent.",S; CH,ATTR; REB,2,2
1001_t0145_s003,"Fragment 'Mr.' — likely address term, no clear act.",,,0,0
1014_t0019_s003,Explanatory declarative describing lack of collective bargaining for seniors.,S; EXPL,,2,0
1006_t0008_s011,"States a policy proposal (stop program), hortatory in tone; substantive statement.",S,,1,0
1021_t0039_s003,Short assertion of national identity; unity/patriotic framing.,S,AP; UF,1,2
1030_t0006_s014,Praise of people as great scholars; a favorable declarative characterization.,S,,1,0
1008_t0065_s003,Expresses personal opinion/assessment of policy.,S,IP,1,1
1033_t0303_s003,Statement citing scientific authority with urgency about limited time; the 'don't have much time' framing invokes fear.,S,AF; ATTR,1,2
1001_t0016_s002,"Speaker takes the floor to lay out strategy and touts personal record of balancing budgets, self-promotion.",S; TT,IT,2,1
1004_t0047_s009,Informative statement citing endorsements as evidence for the approach; cites authorities selectively to bolster claim.,S-Inform,SE,1,1
1031_t0503_s008,"Declarative expressing what ought to happen (accountability), not a bare imperative; assigns blame framing.",S,ATTR,1,1
1029_t0140_s003,"Statement characterizing a group in strongly negative terms (murderers, drug lords), a loaded generalization.",S,AF; CB,1,2
1006_t0240_s001,"Fragment offering an evaluative statement, colloquial understatement.",S,,1,0
1001_t0140_s014,Wh-question asking whether opponent knows a figure; a rhetorical gotcha challenge.,Q-W,AEX,1,1
1025_t0029_s002,Brief declarative identifying something as the problem.,S,,1,0
1003_t0171_s017,Emotional expression of love and gratitude to an audience.,S; THK,AE,2,1
1019_t0124_s015,Speaker holds floor to steer to prescription; hortatory collective 'we need to do'.,S; TT; MS,UF,3,1
1025_t0029_s001,Declarative asserting the opponent failed to do what was claimed; references opponent's record critically.,S; CH,ATTR; REB,2,2
1033_t0276_s006,"Casual declarative dismissing opponents' credibility, implying they lie/exaggerate.",S,REB,1,1
1008_t0059_s017,Statement claiming credit for standing up to terrorism threats; 'threats of terrorism' carries fear framing.,S,IT,1,1
1030_t0012_s002,Personal-stance statement about respecting the Second Amendment and belief in an individual right.,S,APAT; IP,1,2
1026_t0067_s017,Plain informative statement about opportunity in Latin America.,S,,1,0
1014_t0055_s004,"Statement referencing opponent's record, framing it critically.",S,REB,1,1
1011_t0050_s011,Statement attributing a position to opponent with loaded framing about opposing abortion rights; references named figures.,S; CH,ATTR; REB,2,2
1026_t0199_s004,"Statement claiming progress under own administration, citing prior crises attributed to predecessors; self-credit with fear-laden terms.",S; S-Inform,AF; IT,2,2
1029_t0264_s002,Explicit agreement with the other speaker.,AGR,,1,0
1007_t0103_s007,Self-referential complaint framed emotionally; grievance about not being called.,S,AE,1,1
1013_t0075_s002,"Speaker states agreement with a policy position, framing as personal view about bringing troops home.",S; AGR,IP,2,1
1027_t0125_s002,Factual claim with a time span (40 years) implying an opponent's failure to comply with tradition.,S-Inform,SE,1,1
1025_t0245_s041,Personal statement of priority framed as personal stance.,S,IP,1,1
1018_t0053_s014,Declarative asserting causal claim about government controls; cognitive reasoning bias (slippery slope).,S,CB,1,1
1033_t0020_s013,Short declarative continuing prior thought; plain assertion.,S,,1,0
1030_t0236_s006,"Cites a source then dismisses their character ('they don't even care'), an attack-flavored claim about media.",S-Inform; CH,SE,2,1
1004_t0042_s016,Fragment 'Mr.' addressing someone; no substantive act.,,,0,0
1017_t0105_s003,Statement expressing personal opinion about cost and a better alternative.,S; IAFA,IP,2,1
1011_t0048_s020,"Expresses a hope about safety, framed as personal stance with an emotional appeal to women's safety.",S,AE; IP,1,2
1003_t0072_s001,Brief evaluative statement; plain assertion.,S,,1,0
1031_t0090_s001,Self-promoting boast of beating an opponent by a large margin.,S,IT,1,1
1022_t0152_s005,Statement about policy action regarding bad teachers.,S,,1,0
1007_t0153_s002,Rebuts opponent's claims by referencing them and defends own life.,S; DIS,REB,2,1
1031_t0176_s003,"Fragment, dismissive minimizing statement.",S,,1,0
1022_t0136_s001,Statement of personal position on qualifications.,S,IP,1,1
